"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"e36eccd42389fb3f738bf306f611b7965a28307210200c68f63ee1a3640431f9a77de70eddd709c73fee3a96520a81991a552a28296c9afcb330ca125a129c90";"2023-07-26 13:56:29";"Google, Microsoft e OpenAI lançam pareceria por inteligência artificial ‘responsável’";"http://www.estadao.com.br/link/inteligencia-artificial-google-microsoft-openai-acordo-nprei/";"estadao.com.br";"Gabriel Bueno da Costa";"Brazil";"pt";"597225";"6";"2"
"be814a6ee3bccdc200d65dc874d6b592c987b23c0ce49111aed655b50ba6178c36edcfd112c6427b99b45f4a51ba7c2688e369fae6c49b111015128e4772e4b8";"2023-07-31 10:33:00";"Inteligência artificial e nuvem do Google consomem 21 bilhões de litros de água por ano";"https://exame.com/inteligencia-artificial/inteligencia-artificial-e-nuvem-do-google-consomem-21-bilhoes-de-litros-de-agua-por-ano/";"exame.com";"André Lopes";"Brazil";"pt";"277677";"12";"2"
"0821b38b96b49cb5346b7be6c61ffa349dabdf1fd4b97b0f25afc8e785122d149b33e1bb6684bd7224adb3500a2a9490e230af698994e1e6caba34cef1fd2a33";"2023-07-31 09:50:00";"Antes e depois da IA";"https://itforum.com.br/noticias/antes-e-depois-da-ia/";"itforum.com.br";"Fabrício Vitorino";"Brazil";"pt";"21534";"0";"2"
"f45ffa66ab7ba889979894aa305d4d6be415d5cfde41470baf96f67dc2d7a02d96ec596eb17a18bc29427f4a4c82da6554f9538429eee37b9edc094f6e723e37";"2023-07-13 02:54:00";"Bard: as polêmicas e os recursos de rival do ChatGPT que Google lança em português";"https://g1.globo.com/tecnologia/noticia/2023/07/13/bard-as-polemicas-e-os-recursos-de-rival-do-chatgpt-que-google-lanca-em-portugues.ghtml";"g1.globo.com";"unknown journalist";"Brazil";"pt";"1858094";"1";"2"
"52f9594b16bc1cd1e047544a151d23c0261d2e674bc2e8c4ddae1ce5a7787b409bb2f191e96c6e2956d8d4698a057662168be072f5604d8424105a7347ca7c72";"2023-08-28 09:00:00";"A nova aposta do Google é que as pessoas tomem decisões na vida seguindo dicas da IA";"https://www.cnnbrasil.com.br/nacional/a-nova-aposta-do-google-e-que-as-pessoas-tomem-decisoes-na-vida-seguindo-dicas-da-ia/";"cnnbrasil.com.br";"Phelipe Siani";"Brazil";"pt";"24367";"1";"2"
"201e34e31f4dea7b9e91c186bd530fdbfdb88118fd25c4e2dd5c925ec0ebce2c3c978e52e4798fe38a75b4d7e12d3d1db9b3b7a806f2e7e5a786ab0794a00e20";"2023-08-31 05:58:00";"AMD compartilha código-fonte para beneficiar a computação confidencial";"https://inforchannel.com.br/2023/08/31/amd-compartilha-codigo-fonte-para-beneficiar-a-computacao-confidencial/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"0";"2"
"6942b585371615392423dc3730166c61debcb1ac24c859328d91eafdb484bc54e81646da7c4496f379f04320b769e2d872a835fe9b0f4ad6795e6d7bc9e6d6c0";"2023-08-03 09:06:00";"Alexa, Google e Siri: como funcionam os assistentes virtuais";"https://www.estadao.com.br/recomenda/tecnologia/alexa-google-assistente-siri-assistentes-virtuais/?utm_source=estadao&utm_medium=solteira_01&utm_campaign=";"estadao.com.br";"Eduardo Ribeiro";"Brazil";"pt";"597225";"1";"2"
"9fd166b9515d01abb19a7457dbdbc2bd1d8f67a3e0774ec9089c76ae7e1d4a1cdda7d9aa28c728273e207174e289c65a3c84b0658e7d8822b23f014dc3dc3c73";"2023-09-11 13:45:00";"Como Google, Meta e Microsoft utilizam seus dados pessoais para treinar IAs";"https://olhardigital.com.br/2023/09/11/seguranca/como-google-meta-e-microsoft-utilizam-seus-dados-pessoais-para-treinar-ias/";"olhardigital.com.br";"Ana Luiza Figueiredo";"Brazil";"pt";"209607";"9";"2"
"75f896002165ac4b8e122bcf1d1b03f0f3387567c9256743b936384cf02a4a6226b069d58aea9dab60fa35e4a512a16c3e691a81881789e9adf3b62b3cbaf8c8";"2023-09-19 05:33:00";"Google conecta Bard AI, chatbot inteligente, ao Gmail, Maps e YouTube; veja novidades";"https://epocanegocios.globo.com/inteligencia-artificial/noticia/2023/09/google-conecta-bard-ai-chatbot-inteligente-ao-gmail-maps-e-youtube-veja-novidades.ghtml";"epocanegocios.globo.com";"Renata Turbiani";"Brazil";"pt";"132427";"11";"2"
"d8c04cf667ae2e98087ea1485ec3d0c532be820d9693e2e3f44f9bd4d0a1d369f98eb3321511842fc0b28b4d3c830cdb48a2554bdb70c968f4eeb71b9f223ad0";"2023-09-21 18:16:28";"iPhone 12 RADIOATIVO é investigado pela Anatel, WhatsApp chegando pra iPad (kkkk)";"https://www.tecmundo.com.br/videos/Huz2v9LmCfc-iphone-12-radioativo-e-investigado-pela-anatel-whatsapp-chegando-pra-ipad-kkkk-.htm";"tecmundo.com.br";"unknown journalist";"Brazil";"pt";"566539";"0";"2"
"f9c1634278f5ce1740345e1f4d6692b6e5b0c6571a8f3e38fffbf93b13257f129d495d366bac6ac0360a1ad5fa57be51e4632a1e074ac0ac42120972be3b244e";"2023-07-26 10:11:00";"Google, Microsoft e OpenAI criam fórum para discutir riscos da IA";"https://canaltech.com.br/inteligencia-artificial/google-microsoft-e-openai-criam-forum-para-discutir-riscos-da-ia-257344/";"canaltech.com.br";"Igor Almenara";"Brazil";"pt";"338531";"0";"2"
"88f49d4e897a2fff4d56c0039146ad70414076bac9bfe99808e7fe61bf72bb05ae9c92697ab815dcf64c8150adaddb7799e38d08975ef2cd8a2a8ff8e1a5bed7";"2023-08-30 14:44:03";"Deepfakes: empresas de tecnologia correm para combater imagens geradas por suas próprias IAs";"http://www.estadao.com.br/link/cultura-digital/deepfakes-empresas-de-tecnologia-correm-para-combater-imagens-geradas-por-suas-proprias-ias/";"estadao.com.br";"Gerrit De Vynck";"Brazil";"pt";"597225";"4";"2"
"6b7777dbcb5a8a180eafd6d28cf9cab0ed0b680f31768516f38ba0903124fcf51d37ed5dd919690f1d585b50620b3c7524fc5cb33151c6e0d1cb0ea3bd033950";"2023-08-04 07:53:00";"Google Assistente leva pesquisa de conteúdos exibidos na tela a mais gente";"https://canaltech.com.br/apps/google-assistente-leva-pesquisa-de-conteudos-exibidos-na-tela-a-mais-gente-258484/";"canaltech.com.br";"André Lourenti Magalhães";"Brazil";"pt";"338531";"3";"2"
"3fbd376fd52318cd71cd7bb7be9e20219e7b43a3e05b1748cd13bed37bd96cecec9bb92e514c7847b60853b3d34ba5636fc3df76313fb3468ca96e69059323c8";"2023-09-19 11:05:00";"Google conecta chatbot Bard ao Gmail, Docs, Maps e YouTube";"https://istoedinheiro.com.br/google-conecta-chatbot-bard-ao-gmail-docs-maps-e-youtube/";"istoedinheiro.com.br";"Unknow Jornalist";"Brazil";"pt";"122995";"0";"2"
"792a715f5a6372c33bc0d27a731dbda58e338f707e87b884c8b6709dea257e18e15aaad3ede824c2fa4320001c48092455874d69978a2de61b3208428e1f3af8";"2023-09-24 18:15:00";"David Wiswell: Monopólio favorece Google em julgamento por acusação de monopólio";"https://www1.folha.uol.com.br/colunas/david-wiswell/2023/09/monopolio-favorece-google-em-julgamento-por-acusacao-de-monopolio.shtml";"folha.uol.com.br";"unknown journalist";"Brazil";"pt";"560911";"4";"2"
"7cc5527bd0bc9e077c2bf57d1222bfa19176c32bc40ee96b84943e8f4f5e34f41ba1dbc49945d58b8fe88754fb1b594fdb0b7b5ac33d061b858c4088a5f1e876";"2023-07-13 02:15:00";"Bard: as polêmicas e os recursos de rival do ChatGPT que Google lança em português";"https://epocanegocios.globo.com/tecnologia/noticia/2023/07/bard-as-polemicas-e-os-recursos-de-rival-do-chatgpt-que-google-lanca-em-portugues.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"120523";"1";"2"
"6213cda3fe4fd2c524ce88b71aa422136a0dc58cc65174af46ad52c6e4bfc7e624e7c8ec3d96861bc4bc29f75076a78462d3e5805eb94b7852cc3874f89bb8d5";"2023-07-13 09:47:00";"Bard, robô de inteligência artificial do Google, mente sobre urna eletrônica e põe em dúvida a lisura das eleições no Brasil; depois, muda versão";"https://g1.globo.com/tecnologia/noticia/2023/07/13/bard-robo-de-inteligencia-artificial-do-google.ghtml";"g1.globo.com";"Darlan Helder";"Brazil";"pt";"1858094";"266";"2"
"a5349d0eb331ee1c8237acbd59abb95216726bdcd630b9282bfeb8dbf00baaff2b3108713f90cfad068eb7b1fa15a70b20e55edcc545168431e2992dbd286b72";"2023-07-14 10:47:00";"Bard é proibido para menores de 18 anos; entenda por que";"https://canaltech.com.br/inteligencia-artificial/bard-e-proibido-para-menores-de-18-anos-entenda-por-que/";"canaltech.com.br";"Guilherme Haas";"Brazil";"pt";"308117";"17";"2"
"41e46238fb9d3438c79bf5204e4a3e81c4a1be19563399d3283bc0d36b9f9e359900d5288cf50553c9d99a5be8186498686d2bf3ca4ab3b344c24740c92058b7";"2023-07-26 08:31:00";"Samsung lança telefones dobráveis mais finos, tablets e atualizações de relógios";"http://valor.globo.com/empresas/noticia/2023/07/26/samsung-lanca-telefones-dobraveis-mais-finos-tablets-e-atualizacoes-de-relogios.ghtml";"valor.globo.com";"Mark Gurman";"Brazil";"pt";"243887";"0";"2"
"c3b869ad99abc45f440e9351eb26a8499130268bcd42b169ef9d61cb48af354cc8d166135903ed75240ab56eb125565e52accaa7efb6626c7ccb901618ef423f";"2023-07-03 19:09:05";"Google pode usar informações públicas sobre você para treinar inteligência artificial";"http://www.estadao.com.br/link/cultura-digital/google-pode-usar-informacoes-publicas-sobre-voce-para-treinar-inteligencia-artificial/";"estadao.com.br";"Bruno Romani";"Brazil";"pt";"544275";"35";"2"
"15c4bd471ffc9e9311847cbceb6d2e0831a3cb31a63363b8ff348656b4121a7de95c73f5b277d20f9b728bb1e0cd4ec579146bdf1138d22e111d3726c45ccc61";"2023-07-20 11:55:21";"Google está testando ferramenta de IA capaz de escrever conteúdo jornalístico";"https://www.estadao.com.br/link/empresas/google-esta-testando-ferramenta-de-ia-capaz-de-escrever-conteudo-jornalistico/";"estadao.com.br";"Benjamin Mullin, Nico Grant";"Brazil";"pt";"544275";"19";"2"
"573318348af229d285d72e61f32959294a414508329e16df3e2ab5370e48192d5f061c4047aaf4895e7f5ae9de50a3a1fa3fc4102bcf89949488453df76496f5";"2023-07-31 01:01:00";"Glossário da IA: Os termos que explicam alguns dos principais pilares da inteligência artificial generativa";"https://epocanegocios.globo.com/tecnologia/noticia/2023/07/glossario-da-ia-os-termos-que-explicam-alguns-dos-principais-pilares-da-inteligencia-artificial-generativa.ghtml";"epocanegocios.globo.com";"Cleide Klock";"Brazil";"pt";"132427";"0";"2"
"61ca5a52a5cfec3b0408f66dd6b1921107fac6e63fec139cabcb836da4ce7478a664c0bd5679d2b89eed1ac05fe394a0d5804fd75aaec1df6513f0349bb42843";"2023-08-16 15:40:00";"Google usa IA para melhorar busca no Chrome para iPhone e Android";"https://olhardigital.com.br/2023/08/16/internet-e-redes-sociais/google-usa-ia-para-melhorar-busca-no-chrome-para-iphone-e-android/";"olhardigital.com.br";"Pedro Borges Spadoni";"Brazil";"pt";"209607";"17";"2"
"0c34b0c9f8fe407b1f365b3d3ff6a40a0d2d94c9bca9b214e1f4a9942950d571903ac634a87339d3db967a7fc5977c4437136cc878476ed70871ce77c3a19ed9";"2023-08-15 11:04:00";"ChatGPT e Bard ainda espalham mentiras, alerta organização jornalística";"https://olhardigital.com.br/2023/08/15/internet-e-redes-sociais/chatgpt-e-bard-ainda-espalham-mentiras-alerta-organizacao-jornalistica/";"olhardigital.com.br";"Pedro Borges Spadoni";"Brazil";"pt";"209607";"2";"2"
"e202433efee809bc21b96497b387d0c24354ffa87868bc2dcccbafe3e94b4e02be8b8a383bc0c407e3e18fa9365012f96af4d999319e3d2d12a5862bb80c32d7";"2023-08-15 18:13:48";"Google vai permitir que usuários usem inteligência artificial para resumir páginas da internet";"http://www.estadao.com.br/link/empresas/inteligencia-artificial-generativa-google-resum-artigos-longos-nprei/";"estadao.com.br";"unknown journalist";"Brazil";"pt";"597225";"5";"2"
"4b95b5359210414cd60a01c286b0c0bc134c62b2999a95f8593459c3391170cbe182043341e08080b2b45c289e78512e1dcba57d1f08e0a24f5dab3349a18ac0";"2023-08-16 14:16:00";"Qual a melhor música de Elvis Presley? ChatGPT e Bard escolhem a mesma canção como resposta";"https://epocanegocios.globo.com/tecnologia/noticia/2023/08/qual-a-melhor-musica-de-elvis-presley-chatgpt-e-bard-escolhem-a-mesma-cancao-como-resposta.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"132427";"2";"2"
"0308c96338c0e8865d72f2b74da6f184d119d38dd2367363d96549f8b62d70e8a8725ec1798c6e7d0afe14c7694c7e30ad84571e60ce354b2695fc5d68d54196";"2023-08-10 09:04:05";"Toda startup agora é uma empresa de IA, e risco de bolha cresce";"http://www.estadao.com.br/link/empresas/toda-startup-agora-e-uma-empresa-de-ia-e-risco-de-bolha-cresce/";"estadao.com.br";"Gerrit De Vynck";"Brazil";"pt";"597225";"4";"2"
"88704b8a60c40f2ef065807a91c473ed8faf32bfad8dbecf1ef49a3314a2c1be949b2d8de44a711d1a9a5043fe720278b895bbd0a36db2a4575cd3d297192414";"2023-08-30 17:59:00";"Rivalidade? Novas caixas de som da JBL terão Alexa e Google Assistant ao mesmo tempo";"https://olhardigital.com.br/2023/08/30/reviews/rivalidade-novas-caixas-de-som-da-jbl-terao-alexa-e-google-assistant-ao-mesmo-tempo/";"olhardigital.com.br";"Vitoria Lopes Gomez";"Brazil";"pt";"209607";"28";"2"
"7b7817e22492d7e82b3fb8f962dc5d1cc9e6e6c5523e871c796027607c50624e82a6620995aa2b1caf44f0af198cf730613ad5ef6de3f45d344c974a63324213";"2023-08-29 14:48:00";"Google Cloud firma várias parcerias em inteligência artificial";"https://istoedinheiro.com.br/google-cloud-firma-varias-parcerias-em-inteligencia-artificial/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"6ad3b885e2523f35db59baf4e220d78e46e1c3bcae10bd8551af38d0fab44961dd8b60b13dbb84df06ed336e975da2eccb257dc3df45166a9b6fcedd104059ca";"2023-09-04 06:53:00";"Continental vai integrar serviços do Google Cloud a painel de veículos";"https://epocanegocios.globo.com/tecnologia/noticia/2023/09/continental-vai-integrar-servicos-do-google-cloud-a-painel-de-veiculos.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"132427";"2";"2"
"c2b8b1ff3e5dbc7358cc72262b8bf8232e08563aed2cc3f033406d1d235493c24f6658f566c4f2d82572118914bd820b9db7f3c2b7d9389dca0db44905abece3";"2023-07-30 13:00:00";"Cérebros digitais: Google associa inteligência artificial a robôs mecânicos, que surpreendem com raciocínio lógico";"https://oglobo.globo.com/economia/tecnologia/noticia/2023/07/30/cerebros-digitais-google-associa-inteligencia-artificial-a-robos-mecanicos-que-surpreendem-com-raciocinio-logico.ghtml";"oglobo.globo.com";"Kevin Roose";"Brazil";"pt";"1060041";"6";"2"
"cdb1fb097398996c1113a49ea08b533942a58689542d56b87c9f99db25c32d5adc79303d5e190d1884255b83d0cba961b2ac2e2831ccd45906a309869f55786a";"2023-08-01 11:30:00";"Google Assistente será otimizado com IA generativa";"https://olhardigital.com.br/2023/08/01/internet-e-redes-sociais/google-assistente-sera-otimizado-com-ia-generativa/";"olhardigital.com.br";"William Schendes";"Brazil";"pt";"209607";"12";"2"
"071c7de3abf914fa0a0ec3a80f7fe7d222213dcc42ea47b31b7a62b8161fbd28d0170fa8bb723431c995dca7351d590bd24156e332602e3f8f37f6cad143618e";"2023-08-17 04:39:00";"Google testa assistente de IA que oferece conselhos de vida";"https://epocanegocios.globo.com/tecnologia/noticia/2023/08/google-testa-assistente-de-ia-que-oferece-conselhos-de-vida.ghtml";"epocanegocios.globo.com";"Louise Bragado";"Brazil";"pt";"132427";"7";"2"
"a536f5ecffb3dd67ffb22dd03a5a8a2f9409bc5898cd7018a6bf9d123afda32bf9c36e8fe3d80f83f78e4c027309e33ef66185526d6e4d37bc0c4878b494dff0";"2023-08-23 12:40:00";"Twilio CustomerAI impulsiona nova era de relacionamentos com clientes";"https://inforchannel.com.br/2023/08/23/twilio-customerai-impulsiona-nova-era-de-relacionamentos-com-clientes/";"inforchannel.com.br";"inforchannel.com.br";"Brazil";"pt";"8194";"0";"2"
"15feb4860bc1a0455e4a58a06adc4ae895a31a431807a215aa62d070f0049495237872f1d136e26cd96eb406b0d872e94488075c5d6bf19b43f27f67547d08b6";"2023-09-02 09:16:05";"Fim da Wikipédia? Enciclopédia digital tenta sobreviver à era da inteligência artificial";"http://www.estadao.com.br/link/empresas/fim-da-wikipedia-enciclopedia-digital-tenta-sobreviver-a-era-da-inteligencia-artificial/";"estadao.com.br";"Jon Gertner";"Brazil";"pt";"597225";"5";"2"
"ff363bbc34694fa5f2f8769ca2863c0aa98e8253614e5b0c8b5df6dbaab6451216c27c413bb067e0c183cb973cc6acd0bc96849855bdbaa5341e1ac47cfe9892";"2023-09-19 02:00:00";"Bard agora vasculha Gmail, YouTube, Drive e outros apps do Google";"https://canaltech.com.br/inteligencia-artificial/bard-agora-vasculha-gmail-youtube-drive-e-outros-apps-do-google-263509/";"canaltech.com.br";"Guilherme Haas";"Brazil";"pt";"338531";"59";"2"
"200a6db2a47e075146be02bdbe3c523c27798feccfaf794c5b003d6e14216ebc2608a102b686473d261e4fa2acc45b74421922d45ecea1611560c76d4809a1e0";"2023-09-16 01:01:00";"IA: estamos diante de uma nova corrida do ouro de investimento e M&As?";"https://epocanegocios.globo.com/colunas/coluna/2023/09/ia-estamos-diante-de-uma-nova-corrida-do-ouro-de-investimento-e-mandas.ghtml";"epocanegocios.globo.com";"Felipe Barreto Veiga";"Brazil";"pt";"132427";"10";"2"
"436d3c7e74aae5b5298eee6661bae19e7c286e2650b961b2020aee4b87a4b59f71a09185832c34e194f2fe78a52bb835b2f85196228970e100b8d3af4270617f";"2023-09-25 05:12:00";"Amazon investe até US$ 4 bilhões em empresa de IA";"https://istoedinheiro.com.br/amazon-investe-ate-us-4-bilhoes-em-empresa-de-ia/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"946e11530e7b122c90bcac9d81676f24b1afd67ff873326be2f7e8a11a6172df2e6877f42b83f3abc8beb7c53da250b962ce6b928e121ac3daad5a9706b1e3db";"2023-07-18 20:14:05";"Artistas lutam para receber por direito autoral após IAs  aprenderem com seus trabalhos";"https://www.estadao.com.br/link/empresas/artistas-lutam-para-receber-por-direito-autoral-apos-ias-aprenderem-com-seus-trabalhos/";"estadao.com.br";"Gerrit De Vynck";"Brazil";"pt";"544275";"6";"2"
"2b7a4a5826365e54f09b37a5cbc5a91afca2fb915e67a1629f53282c126141e0c71d9ea78d1f590e9851a6a961352fbfb702028aec8392e0b4d3aa7ae335a89c";"2023-07-20 12:13:00";"Google explora ferramentas de IA para jornalistas e conversa com veículos";"http://forbes.com.br/forbes-tech/2023/07/google-explora-ferramentas-de-ia-para-jornalistas-e-conversa-com-veiculos/";"forbes.com.br";"unknown journalist";"Brazil";"pt";"16976";"0";"2"
"87bf86d729773a89c85685323e1790e951b8eb1333495199012efd4fbf32e5e51b187cacfdc46ff820df4a87d3bf14d44dd0d38caedfb37c1190ab1d473ee565";"2023-07-15 23:16:42";"Como usar o Google Bard no Brasil? Confira o passo a passo";"https://olhardigital.com.br/2023/07/15/dicas-e-tutoriais/como-usar-o-google-bard-no-brasil-confira-o-passo-a-passo/";"olhardigital.com.br";"Matheus Chaves";"Brazil";"pt";"199756";"51";"2"
"cd0de678658ba653dcb34d00b91677ffacbe40b91974802f6c86cc434368d503dfa3fe492414f19d0862ad3960450a3c2d679838c022b2129aaca41a88e5b818";"2023-07-24 10:54:00";"Apple libera seu chatbot para funcionários internos";"https://olhardigital.com.br/2023/07/24/internet-e-redes-sociais/apple-libera-seu-chatbot-para-funcionarios-internos/";"olhardigital.com.br";"Tamires Ferreira";"Brazil";"pt";"209607";"13";"2"
"938985e2e91773903267f4cc23a555ba133a27002162283d085c61d84db411f5061f612f263a447673e7bd185467d8866c6a58dd6454569fd9cdb399451dab10";"2023-07-22 07:15:00";"ChatGPT para Android chega na próxima semana";"https://olhardigital.com.br/2023/07/22/pro/chatgpt-para-android-chega-na-proxima-semana/";"olhardigital.com.br";"Lucas Soares";"Brazil";"pt";"209607";"38";"2"
"c11e13dbb59f53b471e6a667f112fc8622a74c49623d15c1bcd0680950578d68ec3d2eeaf91657e9225808e8ebd3a6abcdaa02481118d4058046dbf87613fc12";"2023-07-22 05:05:00";"Governo dos EUA e big techs fecham acordo para ampliar segurança da IA";"https://epocanegocios.globo.com/tecnologia/noticia/2023/07/governo-dos-eua-e-big-techs-fecham-acordo-para-ampliar-seguranca-da-ia.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"132427";"10";"2"
"0f353bd7e394891879e926eac0a5819e650c33dd1421d5b82bb716d574137f9d0ae0baf26f14ccb0d936794fd85459371b0d891186473e8108b5f0e341d2b27a";"2023-07-12 23:00:00";"'Chatbot' do Google é aprovado em exame para ser médico nos EUA";"https://oglobo.globo.com/economia/tecnologia/noticia/2023/07/13/chatbot-do-google-e-aprovado-em-exame-para-ser-medico-nos-eua.ghtml";"oglobo.globo.com";"unknown journalist";"Brazil";"pt";"1020664";"7";"2"
"3d1ed4358496b97dc51fb2cdd0c7ec750efeff03f5e1f833d404dde9e6108f4d78cbda0af717e44a59d6695c10795a0a97f912385eb3ed6977ca9225b73d6867";"2023-08-09 20:58:00";"Google e American Airlines criam tecnologia para reduzir rastros químicos";"https://olhardigital.com.br/2023/08/09/carros-e-tecnologia/google-e-american-airlines-criam-tecnologia-para-reduzir-rastros-quimicos/";"olhardigital.com.br";"Alisson Santos";"Brazil";"pt";"209607";"1";"2"
"f4a62970d74dea406d5b7e945988f044fe44656d3d2557955ff2de9a92f5550bd61e3618477854c3650374a580089629b42400aa2ee4a8aae905273578908831";"2023-08-29 13:34:00";"Google libera inteligência artificial Duet AI para empresas";"https://jovemnerd.com.br/nerdbunker/google-lanca-duet-ai/";"jovemnerd.com.br";"Pedro Siqueira";"Brazil";"pt";"87555";"1";"2"
"fdfdbc8645b3edcdd7a5013027c4fcbb5b059f219c03b678223a01e3461f92cc866b5b249a29b50dc621076620b62398be74fd76ec78ac7a9f75a11382eb907a";"2023-08-31 14:43:17";"Nvidia: Como uma empresa focada em games virou um pilar para o boom da IA";"https://www.estadao.com.br/link/cultura-digital/nvidia-como-uma-empresa-focada-em-games-virou-um-pilar-para-o-boom-da-ia/";"estadao.com.br";"Don Clark";"Brazil";"pt";"597225";"6";"1"
"5eef67efed567c9eada004ba4434e5f7c90ed741b6c79a64e080a3a0611b8348ead87696a7014f65db23d2b1c6a00b83e325d9a369efa086bd9e96ac71e82a95";"2023-07-19 12:08:03";"Meta desafia dona do ChatGPT e Google com nova versão gratuita de IA";"https://www.uol.com.br/tilt/noticias/afp/2023/07/19/meta-desafia-dona-do-chatgpt-e-google-com-nova-versao-gratuita-de-ia-llama-2.htm";"uol.com.br";"Staff Writer";"Brazil";"pt";"4640377";"1";"2"
"4a1d1f44288104456ebe981ddc0958a494e97ad005615505be766a1cc5aad47cde00b3056d3dd59536bf1a6ac033139cbfca75957a20bb27ffd562806d43b43c";"2023-08-26 13:36:44";"Google Fotos: conheça recurso que usa IA para criar álbuns";"https://www.tecmundo.com.br/software/269007-google-fotos-conheca-recurso-usa-ia-criar-albuns.htm";"tecmundo.com.br";"Jean Carlos Foss";"Brazil";"pt";"566539";"34";"1"
"49d2a866ae9122dbd14b17380426f020fbeb81c4de6473111815db31fca2e6b1e564eca67a0fd4f1302a8e1a61106d31fce658b0a304ac7170d1d59eee4c441d";"2023-08-31 09:17:00";"Google Cloud e Nvidia ampliam parceria para avançar em computação e serviços de IA";"https://inforchannel.com.br/2023/08/31/google-cloud-e-nvidia-expandem-parceria-para-avancar-em-computacao-software-e-servicos-de-ia/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"0";"2"
"942eb98546878433ce21b9be57cd4fdda1da26c3c148ec5ba7406340f8787274fcc99b93c64dd72e26130dd2e3668a7e26c72f95917fd3851d7d23bf304e0cf5";"2023-08-01 04:29:00";"Google Assistente deve ganhar reforço de IA estilo Bard, revela site";"https://canaltech.com.br/apps/google-assistente-deve-ganhar-reforco-de-ia-estilo-bard-revela-site-257924/";"canaltech.com.br";"Igor Almenara";"Brazil";"pt";"338531";"1";"2"
"ba6ae01f527a59d182962261726eb3b3996088c5411ee3db0977a653ef7bf9f51efa8efbf620ef3439cbb554d4b27998adbeab272ed62449b0c7d22f873fda2a";"2023-08-30 17:04:00";"IA domina anúncios do Google Cloud no Next’ 2023";"https://itforum.com.br/noticias/ia-domina-anuncios-do-google-cloud-no-next-2023/";"itforum.com.br";"Marcelo Gimenes Vieira";"Brazil";"pt";"21534";"0";"2"
"ce8a06192848268333a03bbafa43d9b63df6aab110d5cf530efaeb6014b479d6737b2079286101da3326b440c8e2b009792a1aac7f6303cc977fb607e54adec9";"2023-09-04 12:53:00";"25 anos de Google: conheça (ou relembre) a trajetória dessa gigante";"https://olhardigital.com.br/2023/09/04/pro/25-anos-de-google-conheca-ou-relembre-a-trajetoria-dessa-gigante/";"olhardigital.com.br";"Pedro Borges Spadoni";"Brazil";"pt";"209607";"7";"2"
"2f8468002896ac8ed932c076148c46c34cd5546628df9949bdd093bbd0ff30016c516aed3570e40846cc2f58a7b0e3abcdd63e656c53237da113fa394ae0f782";"2023-09-07 12:25:01";"Daniel de Freitas: o brasileiro bilionário da inteligência artificial";"http://www.estadao.com.br/link/cultura-digital/daniel-de-freitas-brasileiro-bilionario-inteligencia-artificial/";"estadao.com.br";"Bruna Arimathea";"Brazil";"pt";"597225";"18";"2"
"af7a14e09f7aec07f943601097bb490ba46814f10e4031b672b94768db0e1cf7c4e28c25fdba641d299bb8aa48466f4687dc236c7524e24711e36cda1f353f1d";"2023-09-22 14:44:00";"IA: carta de Musk e Harari completa 6 meses e ainda quer saber se tecnologia vai nos destruir";"https://istoedinheiro.com.br/ia-carta-de-musk-e-harari-completa-6-meses-e-ainda-quer-saber-se-tecnologia-vai-nos-destruir/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"c3c778d97b837a3702c72bada4eec997a7ce20db84e8c2f8ad80e1b6cd59f6c874f54e915b43d1ebd79b81fc7722e7f2ed68ea699feabe4c5939e747bc87a963";"2023-09-22 14:58:00";"IA: carta de Musk e Harari completa 6 meses e ainda quer saber se tecnologia vai nos destruir";"https://epocanegocios.globo.com/inteligencia-artificial/noticia/2023/09/ia-carta-de-musk-e-harari-completa-6-meses-e-ainda-quer-saber-se-tecnologia-vai-nos-destruir.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"132427";"2";"2"
"f1a0c14a545d85eeb8afef5c91a50dcfff4a328626c91751dc9b975ec8077a78ae92c02edd00790023a44af63f072f795fe654104dca7b4ca23440d24fd110c6";"2023-09-26 09:23:00";"Xiaomi Watch 2 Pro chega com Snapdragon e retorno da marca ao Wear OS";"https://canaltech.com.br/smartwatch/xiaomi-watch-2-pro-smart-band-8-lancamento-global-preco-ficha-tecnica-264477/";"canaltech.com.br";"Renan da Silva Dores";"Brazil";"pt";"338531";"38";"2"
