"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"74675aaa4e842a3724887a73c51798129a04beb32eae750ca5d8e5085af21552d7da30a5b2286980b4928d42b76b77757c681aedafe1c9833f54e9f75528cc0d";"2023-07-10 01:08:00";"ChatGPT pierde 10% de tráfico a nivel mundial por primera vez de desde su lanzamiento";"https://elcomercio.pe/tecnologia/inteligencia-artificial/chatgpt-pierde-10-de-trafico-a-nivel-mundial-por-primera-vez-de-desde-su-lanzamiento-inteligencia-artificial-ia-ai-estados-unidos-espana-mexico-noticia/";"elcomercio.pe";"unknown journalist";"Peru";"es";"956499";"1";"2"
"065ff07d25dabd542797b04abc4a25b1bde848ab30da9ff29f2e1856356a5382aefc3e9a511b52324a2ae4b10f94d32a05619013f995e1df616c72b37241391a";"2023-07-26 02:04:00";"Microsoft, Google y OpenAI se unen para crear un ente que supervisará el desarrollo seguro de IA";"https://rpp.pe/tecnologia/mas-tecnologia/microsoft-google-y-openai-se-unen-para-crear-un-ente-que-supervisara-el-desarrollo-seguro-de-ia-noticia-1497237";"rpp.pe";"Leonardo Ancajima";"Peru";"es";"498852";"41";"2"
"d06c3afa4502f76faa808678e5105ad7b4afbc7a7a3aa38b08f5c5bb4184face46bb4ed90e5ca57db9d8b8d1690dd1313a426a9c43cfc9cbbfefeb4eae906b4c";"2023-09-11 08:33:00";"Casi 2 mil piscinas olímpicas: la cantidad de agua que Microsoft usa para investigaciones sobre IA";"https://rpp.pe/tecnologia/mas-tecnologia/microsoft-cuanta-agua-requiere-la-ia-para-funcionar-noticia-1504971";"rpp.pe";"Leonardo Ancajima";"Peru";"es";"498852";"29";"2"
"7545b790b4eed03085d5683ad60f77abf1536465adc7947ddb5e67f938d985bea473be22f336c822b868f49338db9998a2775c6addec98d8987899c7a5ba004c";"2023-07-18 09:50:00";"Meta y Microsoft presentan Llama 2, su modelo abierto de IA y lenguaje predictivo";"https://gestion.pe/economia/empresas/llama-2-i-lenguaje-predictivo-i-ia-i-meta-y-microsoft-presentan-llama-2-su-modelo-abierto-de-ia-y-lenguaje-predictivo-i-meta-i-microsoft-noticia/";"gestion.pe";"unknown journalist";"Peru";"es";"223549";"7";"2"
"99595a9229c84a45cb9f8373131406736b5d6e6d47155406cfda703ddf16e995edc9402742e3a8e74de843cd16094c4ba67411fb8c2a108f53d6028bbaad024f";"2023-07-12 07:02:00";"Musk busca empleados para su empresa de inteligencia artificial";"https://www.primicias.ec/noticias/tecnologia/elon-musk-empresa-inteligencia-artificial/";"primicias.ec";"Journalist Unknown";"Ecuador";"es";"91444";"4";"2"
"735c2c1a936ba00d0902bf8ac8bc1afc11e9302230bd5325ff9ae2d3a76120b719dad890279611de175064f68edb28cfb92b98143ca27d304fb549731004f26e";"2023-07-24 13:19:00";"Chatbot con IA de Microsoft se puede usar ahora en los navegadores de Google y Apple";"https://gestion.pe/tecnologia/chatbot-con-inteligencia-artificial-de-microsoft-se-puede-usar-ahora-en-los-navegadores-de-google-y-apple-bing-chatgpt-noticia/";"gestion.pe";"unknown journalist";"Peru";"es";"237291";"1";"2"
"7c957c8a295ebdd26050dc038e2b9848972204144da54603fc621e4652205261048262da0a613c78b6942e8505e1df87a50fefbd1eec89173a8f10f714ea03b2";"2023-08-14 22:30:00";"Desbloquear el potencial de la inteligencia artificial";"https://elcomercio.pe/opinion/colaboradores/project-syndicate-desbloquear-el-potencial-de-la-inteligencia-artificial-por-diane-coyle-noticia/";"elcomercio.pe";"Diane Coyle";"Peru";"es";"1037420";"5";"2"
"2a1ceebfb5bfbe2536b4bec5b97d407c70031b63c93405965c9ff92db2dc898e690bbf9f0180d05eaf1259c74f79f145fe33ef2e6af392fa8a156dbe33ed23ca";"2023-09-14 02:03:00";"Líderes del desarrollo de la IA esperan una ‘regulación equilibrada’ por parte del gobierno de EE. UU.";"https://rpp.pe/tecnologia/mas-tecnologia/ia-big-tech-esperan-regulacion-equilibrada-del-gobierno-de-ee-uu-noticia-1505430";"rpp.pe";"Leonardo Ancajima";"Peru";"es";"498852";"1";"2"
"188ffe4a5fd8567fe2953b604018257ac3a51ad75ed6fe73fff9961183d83599116089682c9cc0620755715c6601e505304e4bca82821438b21135adfdeeae12";"2023-07-21 16:52:00";"OpenAI, Google y otros acuerdan poner marcas de agua a productos de la IA";"https://gestion.pe/mundo/eeuu/openai-google-y-otros-acuerdan-poner-marcas-de-agua-a-productos-de-la-ia-noticia/";"gestion.pe";"unknown journalist";"Peru";"es";"223549";"2";"2"
"4a632075958e4e753c65f71ec97afa25b14d6de137d0ce372180336dfdae280171d3155f6d7ef2f99b2069c9c428649865776ad58ae0cd1e01794ce747116d86";"2023-07-25 16:22:00";"Entusiasmo por inteligencia artificial impulsa a Wall Street";"https://gestion.pe/mundo/eeuu/entusiasmo-por-inteligencia-artificial-impulsa-a-wall-street-mundo-estados-unidos-empresas-alphabet-microsoft-openai-chatgpt-google-windows-fed-noticia/";"gestion.pe";"unknown journalist";"Peru";"es";"237291";"8";"2"
