"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"141b15d5bf2dd7500c05536c4553b0bd1cf1b933b11b4b02855544ba583055733692dbb215ac2bb36fd6d94c4b2e19cc7285c9fdcb1b42a305c5c9c10d4a5429";"2023-08-30 23:30:00";"Globo ganha Prêmio Cliente do Ano do Google Cloud";"https://oglobo.globo.com/economia/tecnologia/noticia/2023/08/31/globo-ganha-premio-cliente-do-ano-do-google-cloud.ghtml";"oglobo.globo.com";"unknown journalist";"Brazil";"pt";"1060041";"1";"2"
"bd7e4047a2b192e968a8e564c8084c4d970b92b549b6303cad44fb5b4e67fe4e5a46268cb22f82db12bebf76a6b0bb7f36d4a00e0817081fd51d880ca36f0603";"2023-09-19 11:21:00";"Google tem enigma que libera faixas de novo álbum de Taylor Swift";"https://canaltech.com.br/internet/google-tem-enigma-que-libera-faixas-de-novo-album-de-taylor-swift-263671/";"canaltech.com.br";"Felipe Demartini";"Brazil";"pt";"338531";"4";"2"
"e266b916f66d23bdbce3e5c34ca44681f9c1c39d413f607793157e2a3d1b1b53ed3c29563bf25a95aee11b135e4a56769603dcee932f93ffe9ed5d73e1765810";"2023-08-31 13:21:00";"Duet: ferramenta de IA do Google, 'te substitui' em reuniões, faz resumos e escreve e-mails";"https://epocanegocios.globo.com/tecnologia/noticia/2023/08/duet-ferramenta-de-ia-do-google-te-substitui-em-reunioes-faz-resumos-e-escreve-e-mails.ghtml";"epocanegocios.globo.com";"unknown journalist";"Brazil";"pt";"132427";"3";"2"
"a98323194ff0fb33c2bfd7e3905bc13fd11dc60bd3b515f65ef1f3e4b9138497b0f4d13a5fecfa4c478e7db62875290262ba001b93c362f514966092cb12fb8a";"2023-09-12 16:35:15";"Google Fotos: como criar imagens cinematográficas no app?";"https://www.tecmundo.com.br/software/271526-google-fotos-criar-imagens-cinematograficas-app.htm";"tecmundo.com.br";"Diego Borges";"Brazil";"pt";"566539";"4";"2"
"572c0751d75d207c2797173a07c1674c0887894b0e08db007575f5e1a6f0831d8a340677902f7e2fea25938859d40298c3676f78cabecaaa47e76ddd9b9b15e1";"2023-07-18 15:54:38";"Copa do Mundo Feminina: veja 5 recursos do Google para acompanhar os jogos";"https://www.tecmundo.com.br/internet/266510-copa-mundo-feminina-veja-5-recursos-do-google-acompanhar-jogos.htm";"tecmundo.com.br";"Jorge Marin";"Brazil";"pt";"544623";"1";"2"
"fb430a9d2f5c494cc004c2083f364368dc030726b6fb82557c3815ce2d65d7824970f71ac4ef89e4437a0565750e9f4231b4954818f3a9af62ba69cd9020da89";"2023-09-14 13:13:00";"Amazon Prime Video chega na central multimídia do carro pelo Android Auto";"https://olhardigital.com.br/2023/09/14/reviews/amazon-prime-video-chega-na-central-multimidia-do-carro-pelo-android-auto/";"olhardigital.com.br";"André Fogaça";"Brazil";"pt";"209607";"1";"2"
"a4b013d72c005791e106a6a06a0dc151839cb6b0908e6f5c20a3b376d271a8402d07af5c054636760266de30f8ade214edbf8e00b7e779dca422c23860806796";"2023-09-19 14:31:00";"Ferramenta de IA do Google prevê riscos de mutações genéticas";"https://istoedinheiro.com.br/ferramenta-de-ia-do-google-preve-riscos-de-mutacoes-geneticas/";"istoedinheiro.com.br";"Unknow Jornalist";"Brazil";"pt";"122995";"0";"2"
"897abade1c2737f7f91e150c7f730ca1a3c7bbcbe679cda46a9ea35e1e0d566086ef4c1e65ba810db292f33b8fa600041f504170afc9d434cad2a1bb70418459";"2023-09-07 23:30:00";"ChatGPT já faz parte da rotina das empresas e ajuda a agilizar processos";"https://oglobo.globo.com/economia/tecnologia/noticia/2023/09/08/chatgpt-ja-faz-parte-da-rotina-das-empresas-e-ajuda-a-agilizar-processos.ghtml";"oglobo.globo.com";"Juliana Causin";"Brazil";"pt";"1060041";"21";"1"
"b68df36dafafd5d3143a3762e8c27bd93ddfcca725876438bdd20f9679f131c7bb7ec40e17810b4cb9eda791df522e0cffb1d2b6f8a7c7e1c427a7b27bbacb00";"2023-09-25 14:16:00";"Pixel 8 e 8 Pro: Google vaza quase tudo que você precisa saber";"https://olhardigital.com.br/2023/09/25/reviews/pixel-8-e-8-pro-google-vaza-quase-tudo-que-voce-precisa-saber/";"olhardigital.com.br";"Pedro Borges Spadoni";"Brazil";"pt";"209607";"1";"2"
"07ec8b35152976602e2b4137eb96c8822448b60b25bc8cd1f1008e45435af7ba101bcc0c3cb2b016e97e8702bcfc5f549c0ce165fd748aae30b4c4757c7f0cc2";"2023-07-04 06:36:00";"Elena Herrero-Beaumont e Anya Schiffrin: Fazendo big techs pagarem por notícias: o que aprender com a Espanha?";"https://www1.folha.uol.com.br/opiniao/2023/07/fazendo-big-techs-pagarem-por-noticias-o-que-aprender-com-a-espanha.shtml";"folha.uol.com.br";"unknown journalist";"Brazil";"pt";"518502";"10";"2"
"aed4f0b691b00507245996d794a7be48a222d40acd7f3c83909f8745a93f4ce72a04791fd06cef59a1172478c404149077f2127d444916565c212672da3d5889";"2023-08-08 11:53:00";"Google pode colocar câmera sob a tela em celulares Pixel";"https://canaltech.com.br/smartphone/google-pode-colocar-camera-sob-a-tela-em-celulares-pixel-258934/";"canaltech.com.br";"Vinícius Moschen";"Brazil";"pt";"338531";"1";"2"
"f89fba5719db4e4e352803ae7d12276a6fe7c70557486d99e4c4591e3b23d6c140ad30b193a199b6353dc331063735458118f3a580de6f280c61b0bc213b584e";"2023-08-26 06:58:00";"OpenText amplia parceria com Google Cloud";"https://inforchannel.com.br/2023/08/26/opentext-amplia-parceria-com-google-cloud/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"0";"2"
"c5faf07ce3b023dca92d47114261ebfd85bbe79348b74d2ebae3f96d0f663189dc33d0d7b38bbb0f78938274e09d87f00dc8e18299a78d6aef5541e0bdb8cdbf";"2023-08-29 08:30:00";"SAP e Google Cloud ampliam parceria para impulsionar a IA generativa";"https://inforchannel.com.br/2023/08/29/sap-e-google-cloud-ampliam-parceria-para-impulsionar-a-ia-generativa/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"0";"2"
"11f9a690fabcf3cc5f0464c778fda8fc192dbe91e27c094dec7efe80fbd9c792b294ad8d91a85bcccf556c61a02ca455069dbb2de342021aee6de84c8e13c2f8";"2023-08-30 07:00:00";"Globo recebe prêmio Customer of the Year Award do Google Cloud";"https://inforchannel.com.br/2023/08/30/globo-recebe-premio-customer-of-the-year-award-do-google-cloud/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"1";"2"
"2cac35d2366be6b6b2f0da061f6bf10cd117320443e183156e677c3d57c7a405485087f42ecb6644333e086264d44c38b79548568df22e7ef4db39be19aedf54";"2023-07-13 08:47:00";"Como testar o Bard, a IA do Google";"https://canaltech.com.br/inteligencia-artificial/como-testar-o-bard-a-ia-do-google/";"canaltech.com.br";"unknown journalist";"Brazil";"pt";"308117";"6";"2"
"139a24eec8b3d795c6c6568f2b258e4baf36c89ad634b6e87fe203012d9671bd3fed9d3bc13754803b79140c2bdb44a38c231ae8f63b645a713447e044e9b221";"2023-08-15 09:08:43";"‘Brasil será motor para novas abordagens de IA’, diz vice-presidente do do Google";"https://www.estadao.com.br/link/empresas/royal-hansen-inteligencia-artificial-google/";"estadao.com.br";"Bruno Romani";"Brazil";"pt";"597225";"5";"2"
"701ea96876e5df18a3bad8a8c3c24b36c421c358fdcba8f7fbb70463a4864ce74bbe0efa2c31b56d8e917b55518f1e6098b2a2799ac5705e09c989d73462521c";"2023-08-15 06:33:00";"Google Fotos vai organizar recordações com ajuda de IA";"https://canaltech.com.br/apps/google-fotos-vai-organizar-recordacoes-com-ajuda-de-ia-259690/";"canaltech.com.br";"Guilherme Haas";"Brazil";"pt";"338531";"24";"2"
"d2d32a970cfe381261483119b22951df3f45e96a359d0ce8a938452b80986d7a3121b553819ad49181a7a3202ec9de2acccbf088ceb39f8f23e029a55233a217";"2023-09-05 14:55:00";"De ícone pelúcia a widget repaginado: as atualizações no Android";"https://olhardigital.com.br/2023/09/05/internet-e-redes-sociais/de-icone-de-pelucia-a-widget-repaginado-as-atualizacoes-no-android/";"olhardigital.com.br";"Pedro Borges Spadoni";"Brazil";"pt";"209607";"31";"2"
"091c75887d7da9ff8e967bd7b3c2321ee43d8025d9ff5f9fc09d7bdb49ae66d9c917fa4cba12c76d90989002b6b7873ca7b8bd383ae2848d1ea7d4e13561cc5e";"2023-09-12 09:19:00";"Salesforce e Google expandem parceria com foco em inteligência artificial generativa";"https://istoedinheiro.com.br/salesforce-e-google-expandem-parceria-com-foco-em-inteligencia-artificial-generativa/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"8";"2"
"e7c900352a9f8b73a19adb28c634eb91070e9562f511373ef2e823e062e8e281e8593d36069b0861b091b11b70890481745469228767102594620fda31639746";"2023-09-25 03:14:00";"Google anuncia novo sistema de cabos submarinos que ligará Portugal aos EUA pelas Bermudas";"https://oglobo.globo.com/economia/epoca/noticia/2023/09/25/google-anuncia-novo-sistema-de-cabos-submarinos-que-ligara-portugal-aos-eua-pelas-bermudas.ghtml";"oglobo.globo.com";"unknown journalist";"Brazil";"pt";"1060041";"38";"2"
"fdffbec0f6a8290d93a3ec35ce3306105e47bcb3b9e116c25618757e1e72ac8e2e75ec457ebf6813390e2033f09965b585fbe0e1cb63e338dadfe3f19888f6d7";"2023-09-20 00:13:04";"Inteligência artificial: Bard poderá bisbilhotar seu Gmail para responder perguntas. Mas só se você autorizar";"https://oglobo.globo.com/economia/tecnologia/noticia/2023/09/20/inteligencia-artificial-bard-podera-bisbilhotar-seu-gmail-para-responder-perguntas-mas-so-se-voce-autorizar.ghtml";"oglobo.globo.com";"oglobo.globo.com";"Brazil";"pt";"1060041";"30";"2"
"55a06d39023f4cb5508ba09728804a7c8e9138de9acd8fb6d596cab28333cfa05d4660281a9527a3a0feb78f973e567b8eeae7078887c73d4ab24486cb3fa4e2";"2023-08-28 09:05:00";"Qual será o impacto da nova lei de internet da UE?";"https://istoedinheiro.com.br/qual-sera-o-impacto-da-nova-lei-de-internet-da-ue/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"d1745b291b2b36558834768b2634243b3c12224a0dc6535e6e8670ccd3c023b161931ffb01244c3fc20da186707d9a10c6ce3c7d7af1798aaf46034d4ef44798";"2023-08-17 13:22:00";"Central de Transparência do Google une políticas de serviços da marca";"https://canaltech.com.br/software/central-de-transparencia-do-google-une-politicas-de-servicos-da-marca-260144/";"canaltech.com.br";"Renan da Silva Dores";"Brazil";"pt";"338531";"2";"2"
"412dc72b1b2117fe22120497c54a58e4bfdaa08a335f35bac2ee954460ceb6eeb4aa0bee9f9dfa8a3da2c1d964e01061cf48e8fa6a4fbce986fd342ff5e733d2";"2023-08-29 11:12:00";"Google quer atrair empresas com ampliação de IA na nuvem";"https://istoedinheiro.com.br/google-quer-atrair-empresas-com-ampliacao-de-ia-na-nuvem/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"131e36412eb53f8d0c143941d358e52562742637fb9e218db41100d9cc48c601fb2cd444b216e01bd2df5eec2513b42375e6a7631c8bf9b0059c15907446a719";"2023-09-22 14:56:00";"IA: carta de Musk e Harari completa 6 meses e ainda quer saber se tecnologia vai nos destruir";"https://revistapegn.globo.com/tecnologia/noticia/2023/09/ia-carta-de-musk-e-harari-completa-6-meses-e-ainda-quer-saber-se-tecnologia-vai-nos-destruir.ghtml";"revistapegn.globo.com";"Estadão Conteúdo";"Brazil";"pt";"15952";"0";"2"
"2aa9bfc15d16e49f1b32de58dda0f5abb68ba613095db18a3808f65e3a77299a130bde707959d412937d2f038d91093e5974304cc67ffb9394ddd42b005979a6";"2023-07-13 02:10:00";"Google lança IA no Brasil, mas ainda há dúvidas sobre assertividade";"https://www.infomoney.com.br/negocios/bard-google-lanca-ia-brasil-mas-ha-duvidas-sobre-assertividade/";"infomoney.com.br";"Wesley Santana";"Brazil";"pt";"339188";"29";"2"
"7a56f418f1512a1abcf0d7c9c1a369b21f1aefb2c8f035e290ecb0f80b3af36ad98d0e334cfa85142602455940e69891b8e3eca5eda7cdfb12c20696699ac32b";"2023-08-29 09:30:00";"Google Chat anuncia repaginada na interface e novas funções com IA";"https://canaltech.com.br/apps/google-chat-anuncia-repaginada-na-interface-e-novas-funcoes-com-ia-261359/";"canaltech.com.br";"Igor Almenara";"Brazil";"pt";"338531";"1";"2"
"84300a29fb49071305d413e2e24b949a402d974c5552b37f2e635c06999d7d234db5beb65f92d617fccb7678c8224abbabf6ceef5979a174cfcdb59b350546fb";"2023-08-31 12:07:00";"Economize 32% nesta televisão 4K com sistema Google TV";"https://gizmodo.uol.com.br/economize-32-nesta-televisao-4k-com-sistema-google-tv/";"gizmodo.uol.com.br";"unknown journalist";"Brazil";"pt";"197617";"0";"2"
"b0aecef7068ea9288ad7b7978814f00930aacfa73a3ec15020917bd4f8b48e583a61d14e9a45906b1146412a72737f3e806a88b9879bb688fd765602f222f88b";"2023-09-30 12:00:00";"10 coisas que o ChatGPT faz melhor que o Bard";"https://canaltech.com.br/inteligencia-artificial/coisas-que-o-chatgpt-faz-melhor-que-o-bard/";"canaltech.com.br";"André Lourenti Magalhães";"Brazil";"pt";"338531";"26";"2"
"6949a8f6e112c03656fa0790e3b9ceabf9b728e02e1b163c8e85cc558b8b6efd80f8df7091618c974d2bd3c75f0ca6591856cbe5926b7e33cc8cc739c7421c3d";"2023-07-13 12:45:00";"Dona do Google vê suas ações dispararem após Bard ser lançado no Brasil e na Europa";"https://g1.globo.com/tecnologia/noticia/2023/07/14/dona-do-google-ve-suas-acoes-dispararem-apos-bard-ser-lancado-no-brasil-e-na-europa.ghtml";"g1.globo.com";"unknown journalist";"Brazil";"pt";"1858094";"13";"2"
"32f35355e9c57ccbbf836374229d43bf790dcef307aa96c02e33d505debc0019cd0e62e93e1264790136ddde5fb68180e5866bb406413040e16f13d8cfeb0f4b";"2023-07-14 07:00:00";"10 comandos legais para usar no Bard";"https://canaltech.com.br/inteligencia-artificial/10-comandos-legais-para-usar-no-bard/";"canaltech.com.br";"Guilherme Haas";"Brazil";"pt";"308117";"15";"2"
"3fc9ca2f1732ed004ffad9a8289959025c98bb94df37966afaf849aa66d59492e7c2beab421cc7c5edd52e8ac669bc542ac9cf5d425e6871284e72d4fbb62d7f";"2023-08-11 10:27:00";"Google pode definir requisitos mínimos de durabilidade para celulares dobráveis";"https://canaltech.com.br/produtos/google-pode-definir-requisitos-minimos-de-durabilidade-para-celulares-dobraveis-259392/";"canaltech.com.br";"Vinícius Moschen";"Brazil";"pt";"338531";"25";"2"
"8e6e1008d4f091fbc1933f5d345e870cb20a07cd4ddddf06c4b07f94f36e30d4f0af61b1ad3dba11c43141ed3635962e77855de28c3df594ecc8e6aebe900012";"2023-09-03 15:03:00";"3 apps de armazenamento de fotos em nuvem para liberar espaço no celular";"https://gizmodo.uol.com.br/3-apps-de-armazenamento-de-fotos-em-nuvem-para-liberar-espaco-no-celular/";"gizmodo.uol.com.br";"Vinicius Marques";"Brazil";"pt";"197617";"1";"2"
"915604a1adbe8bd21ae492fe0272be293e5cabc5f466606fdf5f1ee5c979bafb407de965d33d9553790cb28261f8f9411f953b508f705bc0a1e2dc32b7371a93";"2023-07-18 09:19:00";"Inteligência artificial pode prever o futuro da Terra? O ex-CEO do Google acredita que sim";"https://exame.com/inteligencia-artificial/inteligencia-artificial-pode-prever-o-futuro-da-terra-o-ex-ceo-do-google-acredita-que-sim/";"exame.com";"André Lopes";"Brazil";"pt";"253573";"34";"2"
"438ddb2ffb34de178c6d4d81aa65e146579dde2651bfbf60fdd6c98ab0b128618718accf28ad18374577572c432560d9ab9bc98b72b97192966c031502a364c7";"2023-07-20 10:11:28";"Versão definitiva do Google Nearby Share chega para o Windows – Tecnoblog";"https://tecnoblog.net/noticias/2023/07/20/versao-definitiva-do-google-nearby-share-chega-para-o-windows/";"tecnoblog.net";"Felipe Freitas";"Brazil";"pt";"166973";"11";"2"
"babc42cc4b24d96ec76aa3caae18b7d4c90da12777d30ead7ac333581e933f118037f2a5711e2ff08e0ce3173d03ec85b5496837d68b8474e35ccdb972c1e54c";"2023-09-08 05:58:00";"Kyndryl é parceira Google Cloud Talent Development para a AL";"https://inforchannel.com.br/2023/09/08/kyndryl-e-parceira-google-cloud-talent-development-para-a-al/";"inforchannel.com.br";"Unknow Jornalist";"Brazil";"pt";"8194";"1";"2"
"839b58ecfda01b2d5770ae093214dbca5943c5179d0128aecc9f7772b3d3cb28c792e54aff8fff5e4bffb0995d0daf411748cebba4785b11b14bd4ef57effb52";"2023-09-19 16:21:00";"Bard, chatbot do Google, terá integração com Gmail, Docs e Drive";"https://gizmodo.uol.com.br/bard-chatbot-do-google-tera-integracao-com-gmail-docs-e-drive/";"gizmodo.uol.com.br";"Isabela Oliveira";"Brazil";"pt";"197617";"0";"2"
"bed21730e4fbe85fd6742f1ec6c0bd19c0d99541ed4569fbc91655f3e7bf83aec0d260371163635d5856ecfafca511e05a71759090ec31f3125b2ceae5502b05";"2023-07-15 06:21:14";"10 notícias mais importantes da semana (10/07 a 14/07)";"https://www.tecmundo.com.br/internet/266421-10-noticias-importantes-semana-10-07-14-07.htm";"tecmundo.com.br";"Carlos Palmeira";"Brazil";"pt";"544623";"1";"2"
