"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"7af3d1b35fabcd32ea34aa980c2cdf2bf645787dc9d13b336146f5cc1e465ebaa596ed2187369d220cbf5461cca272576d0bd379ed147ce3cf4084a05641e8db";"2023-08-09 20:53:00";"Gmail implementa nueva función en dispositivos iOS y Android, ¿de qué se trata?";"https://www.semana.com/tecnologia/articulo/gmail-implementa-nueva-funcion-en-dispositivos-ios-y-android-de-que-se-trata/202305/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"19";"2"
"4b28251fecd75fcf859fde6f5b22aa2811f5abffa39e57c6bc6496d90d4e144e792305f65d826280bbf8f73b7ca210b6846fdd43c9ded14eff1bc102f33e01fa";"2023-07-14 16:27:00";"Google TV: la plataforma de streaming que ofrece contenido gratuito";"http://www.bluradio.com/tecnologia/google-tv-la-plataforma-de-streaming-que-ofrece-contenido-gratuito-so35";"bluradio.com";"Daniela Sanchez Elejalde";"Colombia";"es";"146429";"3";"2"
"ffa82f77b5dc1fced8eb6a56b07d8e4c8606e9b684094ed90013b04a8b1e70f471cbf55d8d0c56d270408c398cd5f916ca542bd0ff1e3200ef99d27d07f9975f";"2023-07-09 19:47:00";"Google realiza pruebas de su inteligencia artificial enfocada al ámbito médico";"https://www.semana.com/tecnologia/articulo/google-realiza-pruebas-de-su-inteligencia-artificial-enfocada-al-ambito-medico/202317/";"semana.com";"Journalist Unknown";"Colombia";"es";"282895";"15";"2"
"ab2f075f44e83002e03583426a3a0297397945cb30606416226b23882fee97b580ce8ea91e7b4c649143e1f4123aac9361996ecafe88d40b18476e7b9366ed46";"2023-07-20 03:12:00";"&lt;img class=""vlog-logo"" src=""https://www.enter.co/wp-content/uploads/2020/03/logo.svg"" alt=""ENTER.CO""&gt;";"https://www.enter.co/page/3/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed:+boletin-ENTERCO+(Bolet%C3%ADn+ENTER.CO)";"enter.co";"unknown journalist";"Colombia";"es";"114077";"0";"2"
"fbc7952c78dbd9b04bcef3018c6c2f00dea5f1e4d7d7ff63407f937708baa27f17b952f1afe7188166708b61977fcf23baef32c19c745ff61667a98851ddfd52";"2023-08-29 13:25:00";"Google y su ‘detallazo’ con las  empresas interesadas en aprovechar la IA";"https://www.semana.com/tecnologia/articulo/google-y-su-detallazo-con-las-empresas-interesadas-en-aprovechar-la-ia/202313/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"2";"2"
"3eb05b9889a972cfb8d4e01da3161f030da0e4a55135bbd96248ea96d93d6dc724542ae6b95f73f71f0d89f7d0d06c64ecfed5761f5b6e3b5cd43f8167ff0a0e";"2023-09-22 06:23:00";"Demandan a OpenAI por utilizar obras de ficción para entrenar sus modelos de inteligencia artificial; aseguran que viola derechos de autor";"https://www.semana.com/tecnologia/articulo/demandan-a-openai-por-utilizar-obras-de-ficcion-para-entrenar-sus-modelos-de-inteligencia-artificial-aseguran-que-viola-derechos-de-autor/202334/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"24";"2"
"16980ce486f746ab687187e1606c8106ed0b23e7704a4321a2540203a1284f433f772d2514e1badfa443333916cd602fc893838977514f24066f875b187f4876";"2023-07-31 09:45:00";"Google presenta Robotics Transformer 2: sistema que permite a los robots aprender como los humanos";"https://www.enter.co/chips-bits/google-presenta-robotics-transformer-2-sistema-que-permite-a-los-robots-aprender-como-los-humanos/";"enter.co";"Worthy Irene Urrea";"Colombia";"es";"114077";"27";"2"
"9438a931f1622ea5bc7382947999b698628bb92cd542623349907b28bb2505a8dc4b9b441c89f409b7ffc12803dddf9f66a7671075a97ce1dc76a2a01a6d9212";"2023-08-30 12:18:00";"Google lanza SynthID: permite añadir marcas de agua a imágenes generadas por IA";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/google-presenta-synthid-herramienta-que-anade-marcas-de-agua-a-imagenes-con-ia-801210";"eltiempo.com";"unknown journalist";"Colombia";"es";"726205";"3";"2"
"3f4fadbf3d3513793bc4a9c3ae42aed409939ad2a43258870c756630bc813d0d4f208345927bf5e742bcb36921a047283dbdc7b1ef07bae04d47776fef5ed508";"2023-08-03 04:50:00";"Google Chrome se actualiza con fuertes cambios para sus usuarios";"https://www.semana.com/tecnologia/articulo/google-chrome-se-actualiza-con-fuertes-cambios-para-sus-usuarios/202301/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"0";"2"
"01cbee4c121655af5ac9eab77a113d20c5a2c7bb303828a6f182dbf77c124f1310f0fe73baea78b809dc049cc310be02aacde88814a451794de25abd046dbbf4";"2023-09-11 23:20:07";"‘La IA puede generar oportunidades para los países’: Google";"https://www.portafolio.co/innovacion/los-proyectos-en-los-que-viene-trabajando-google-en-colombia-588947";"portafolio.co";"Johana Lorduy";"Colombia";"es";"159763";"1";"2"
"3752cda4543f11bdf79315514fbd7e6a6138640ccafee702cd79187afc82b68f7a90b2da1fe64f2f7a4d76d41c3f07b5905beb43e796f61984df30efe085ae4b";"2023-09-22 04:56:00";"Google insiste en que Apple adopte RSC para comunicarse con Android: de esto se trata";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/google-insiste-en-que-apple-adopte-rsc-para-comunicarse-con-android-808662";"eltiempo.com";"Camila Sanchez Fajardo";"Colombia";"es";"726205";"14";"2"
"1c0c23c42e4362c36cdd69a19ea210154fe1bce5e2aaea8778e9f9389f567d381176db4bd71d46aaa26002c9c1a97a4c02941e01cbb8cea79778a41ae966ef7c";"2023-09-29 06:16:00";"Empresas podrán bloquear su contenido para que Google no los use para entrenar su IA";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/empresas-podran-bloquear-su-contenido-para-que-google-no-los-use-para-entrenar-su-ia-811049";"eltiempo.com";"unknown journalist";"Colombia";"es";"726205";"3";"2"
"02ec254114300cda8587f52a621bcafade74af12676c4c716a3eb3df5dbf641156a6f116a31ba15d5173858df2e0a0cc639ef9123df3b29d5b4c7baf5e09c989";"2023-07-17 10:09:00";"Google TV actualiza su catálogo de películas y series para julio 2023";"https://www.eltiempo.com/tecnosfera/apps/google-tv-catalogo-de-peliculas-y-series-gratis-es-actualizado-en-julio-2023-787205";"eltiempo.com";"Nathalia Gomez Parra";"Colombia";"es";"681454";"1";"2"
