"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"b2fa0437d3ca8c2116172f9ff7e6bf8c9240e7d403f8e2d193d1c9905351f10453515f54cf48c596fe41620b9b4ff0792c65e76b9d7c9a6531351c616c0c4ff6";"2023-09-10 02:12:00";"Cuáles son las 5 compañías más grandes del mundo según capitalización bursátil";"https://www.ambito.com/opiniones/cuales-son-las-5-companias-mas-grandes-del-mundo-segun-capitalizacion-bursatil-n5816150";"ambito.com";"Agustín Savo";"Argentina";"es";"283832";"0";"2"
"ebcb9af4df94c835eb804ed66c4b5387f3fa9ffceb26d84e00ba1eb209dc084ebbc9623247fe53ffb10ca39be6d0d78ad38409cc9b4427b9c0247913d1a7e5f6";"2023-09-25 07:50:00";"Amazon invierte hasta 4.000 millones de dólares en la empresa de IA Anthropic";"https://www.lanacion.com.ar/agencias/amazon-invierte-hasta-4000-millones-de-dolares-en-la-empresa-de-ia-anthropic-nid25092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"2249fd417f5522d01deb9c538bf31ec8f0d94e5b114a0a181f9bf6cd6b320390f72981441f155978922dd7bf4aa72808e7557305a37b8f0d02b91e1fedc8f590";"2023-07-21 15:46:16";"Cómo Google evitó un ciberataque de altas dimensiones usando la nube";"https://www.infobae.com/tecno/2023/07/21/como-google-evito-un-ciberataque-de-altas-dimensiones-usando-la-nube/";"infobae.com";"Juan Ríos";"Argentina";"es";"1442272";"42";"2"
"f53bddfcdbefb5bb5b4bbb41eda20e3808a94f3779e5dd8e3d1c3336027c8262ff0349525d90c9486076d6df3ecf557c4b9266d301c4b1e685b848ddad427213";"2023-08-02 08:02:00";"Cómo es el fondo que creó Google para ayudar a fundadoras de empresas";"https://www.forbesargentina.com/innovacion/como-fondo-creo-google-ayudar-fundadoras-empresas-n38260";"forbesargentina.com";"John Kang";"Argentina";"es";"18077";"1";"2"
"e8f01f1342401df034a3e89c9c32837c5affbc375428158b00a5165fac76609b3f5a36d584f95315d58384cf621dcc712b26e1388663dc49364cb91f82a26504";"2023-07-18 17:05:59";"Así funciona Google Go, la aplicación que reúne varios funciones de Android";"https://www.infobae.com/tecno/2023/07/18/asi-funciona-google-go-la-aplicacion-que-reune-varios-funciones-de-android/";"infobae.com";"Juan Ríos";"Argentina";"es";"1442272";"24";"2"
"d6a16c030ea59c586db0a761cd862ed0ec59f80f05cf0c6f7f3d08138be9b2f923a145490d123f86f9c18455ce719190f84a5b9399b7fd4e566b9334d4febc19";"2023-09-18 09:05:00";"Salesforce y Google amplían colaboración para impulsar productividad empresarial con IA Generativa";"https://www.itsitio.com/ar/salesforce-y-google-amplian-colaboracion-para-impulsar-productividad-empresarial-con-ia-generativa/";"itsitio.com/ar";"Redacción de ITSitio";"Argentina";"es";"4179";"0";"2"
"da74b46b1988892c2e15e411d4c61e7d30ac5a2c07667127e164ea82667b7d51fa92d34c120279c24a448b41c40fbda0d9d24d5e4b392449c9ab2e8a5fd2aaf1";"2023-09-25 05:33:00";"Qué hace esta startup en la que Amazon quiere invertir 4 mil millones de dólares";"https://www.forbesargentina.com/negocios/que-hace-esta-startup-amazon-quiere-invertir-4-mil-millones-dolares-n41310";"forbesargentina.com";"Siladitya Ray";"Argentina";"es";"18077";"2";"2"
"c36f1d06ebed03ed1768e5b069408664edf2c5fb08bdb758c8853aa9b1fbf1119ed55784a44c73ec03ba24bb806923a223e9e69244aaae51a362287f1811580c";"2023-08-30 11:11:00";"Google presenta SynthID, una herramienta que añade marcas de agua a imágenes generadas por IA para diferenciarlas";"https://www.lanacion.com.ar/agencias/google-presenta-synthid-una-herramienta-que-anade-marcas-de-agua-a-imagenes-generadas-por-ia-para-nid30082023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"1e317a85a2f3da2becf5ece1526befcbe037c26fefea297334c95c88c8655bbbe7c0b1bc1e8f0bffdc6c4a1a713126dfa185dae5688662c23e6fe534a96061a6";"2023-09-25 11:50:45";"Google expande su cable submarino para conectar más a Estados Unidos y Europa";"https://www.infobae.com/tecno/2023/09/25/cable-submarino-de-google-se-expande-para-conectar-mas-a-estados-unidos-y-europa/";"infobae.com";"Renato Silva";"Argentina";"es";"1529212";"44";"2"
"93820053f74d775652d3f1f11e6c4777613614a3abeb5ecada97eeeec2394505fbdad38a709ee290ecc67fadce5b1cf97db7d3dd76cba998fa2be25aedab1945";"2023-09-01 09:00:00";"Google Cloud Next '23: ¡10 novedades revolucionarias con Inteligencia Artificial Generativa y todo lo que debes saber!";"https://eleconomista.com.ar/tech/google-cloud-next-23-10-novedades-revolucionarias-inteligencia-artificial-generativa-todo-lo-debes-saber-n65862";"eleconomista.com.ar";"unknown journalist";"Argentina";"es";"5330";"1";"2"
"686e32410de6e17e4eabecc3dfdf4065133c0c96211373965cb986eba720307fed6f9db08b0c6e080e5a1750f1e68b3101951b7edcdc002872172c5ea0c75349";"2023-07-25 17:50:00";"alphabet reporta ganancias superiores a las previstas, cfo asumirá nuevo cargo";"https://www.lanacion.com.ar/agencias/alphabet-reporta-ganancias-superiores-a-las-previstas-cfo-asumira-nuevo-cargo-nid25072023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"78327eb00b19891789baaab86d7e7f0ff26b0aed80a6a4843fdadf49bf45edbf6f0ff26319a718b3e11187be78b55c48c4752821bdd004fce643a1f683f81106";"2023-08-03 20:40:00";"Thales se asocia con Google Cloud para desarrollar nuevas capacidades de seguridad basadas en la IA generativa";"https://www.lanacion.com.ar/agencias/thales-se-asocia-con-google-cloud-para-desarrollar-nuevas-capacidades-de-seguridad-basadas-en-la-ia-nid03082023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
