"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"10be99dd78d8a2603210638162dc28c776df5793960955756ff71fc91342fb9e7adf0da7fa0cda5763470d8e3dc590e9a7a78c3bc12a348cf2186ba3f1461d70";"2023-08-13 17:19:16";"Solucionar fallas en los chats de inteligencia artificial llevará tiempo y millones de dólares";"https://www.elnuevodia.com/tecnologia/aplicaciones/notas/solucionar-fallas-en-los-chats-de-inteligencia-artificial-llevara-tiempo-y-millones-de-dolares/";"elnuevodia.com";"Frank Bajak";"Puerto Rico";"es";"264700";"31";"2"
"eb485f40c380a21996e66659a0a91d1bb6a38d915de7f4ba39ba10df14b477207f5ef5979e0b2043dc863d74b4a2c3e844970407205d68e94f069bb4c97e69dd";"2023-09-30 14:42:00";"Conoce las 25 herramientas gratuitas de Google que te facilitarán la vida";"https://www.primerahora.com/noticias/ciencia-tecnologia/notas/conoce-las-25-herramientas-gratuitas-de-google-que-te-facilitaran-la-vida/";"primerahora.com";"unknown journalist";"Puerto Rico";"es";"163578";"28";"2"
"ac0e46bd80bb6535e05dcb887caea1a05191670c9e28c4ee37c003d1ab990c3f74fe920d96f55a3f37aa449122ea42817d2ac478cabf12e96decf916ff281693";"2023-07-30 03:20:44";"Anuncian celebración de la XXV Feria Internacional del Libro Santo Domingo 2023";"https://listindiario.com/ventana/20230730/anuncian-celebracion-xxv-feria-internacional-libro-santo-domingo-2023_765780.html";"listindiario.com";"Listin Diario";"Dominican Republic";"es";"699997";"0";"2"
"4017f0b006a3f192ab550139d0919ce9adb7d45fbb2bdbd10cc15a922643da156108abfd60a8153c8448c976109a84e8be2ee8cf7e60406e704931f38819cc8d";"2023-09-12 14:26:04";"El motor de búsqueda de Google está en el centro del mayor juicio antimonopolio en Estados Unidos en décadas";"https://www.elnuevodia.com/tecnologia/otros/notas/el-motor-de-busqueda-de-google-esta-en-el-centro-del-mayor-juicio-antimonopolio-en-estados-unidos-en-decadas/";"elnuevodia.com";"Michael Liedtke";"Puerto Rico";"es";"264700";"19";"2"
"1c20f8da22aa7a5ab306a98091db233aed9f5d0b423f8c83eec90bc1611ddcecc70bc2226961407a92cdbed0188f5697a0d068d8118291a3bdc3672fb1407305";"2023-09-27 08:00:00";"Conozca la historia de Google y el Doodle de su 25º aniversario – El Nuevo Diario (República Dominicana)";"https://elnuevodiario.com.do/conozca-la-historia-de-google-y-el-doodle-de-su-25o-aniversario/";"elnuevodiario.com.do";"yamelle Hernández";"Dominican Republic";"es";"54805";"0";"2"
"3a5420cdc35be19aaf69df8c0c2db68d5c3e791b944508eb9d1bc1a785563eb22d88a97cf6af2446463d45c4cdbcb0caca61eacffac0988485a09884cba42d3a";"2023-07-02 04:47:00";"Cómo proteger tu cuenta de YouTube para evitar accesos no autorizados y qué hacer si los hackers ya la han vulnerado";"https://listindiario.com/la-vida/tecnologia/20230702/como-proteger-cuenta-youtube-evitar-accesos-autorizados-que-hackers-han-vulnerado_761525.html";"listindiario.com";"Listin Diario";"Dominican Republic";"es";"699997";"1";"2"
"bb229d52cc94a325fad85b81fc835227c2b55532ee277408c2de5a4d68c2a271c7a7dacfb9f165cb87eafe36451b14ef7f82d82b4e4e7d1767e1679f16fe9027";"2023-07-24 11:24:03";"¡Ya viene la Feria del Libro! Cultura anuncia oficialmente el evento";"https://elnuevodiario.com.do/cultura-anuncia-celebracion-de-la-xxv-feria-internacional-del-libro-santo-domingo-2023/";"elnuevodiario.com.do";"Journalist Unknown";"Dominican Republic";"es";"54805";"0";"2"
"2418bb5eabb6f7ad80a0923c40322e47605cecd6b2f2f383bdc6cfb1d468ec28ff97501dab83e5d6d99d3528ac990e1e300dcb4d5a0c8530f2b066315f93e7cc";"2023-08-29 16:20:38";"Usuarios de Google Meet podrán pedir a la IA que les sustituya en sus reuniones virtuales";"https://www.diariolibre.com/planeta/tecnologia/2023/08/29/usuarios-de-google-meet-podran-pedir-a-ia-que-les-sustituya/2445493";"diariolibre.com";"unknown journalist";"Dominican Republic";"es";"266708";"1";"2"
"c48f7882d5985db50b44e8d0dfbf3c336f3c89483d8faa81b6b04bd424fab126603a1a5941ad6002168f4e925e5395286cad9befd787bdd8fe367e51ece8ec6c";"2023-07-24 04:00:00";"La Feria del Libro se celebrará del 24 de agosto al 3 de septiembre en la Plaza de la Cultura";"https://listindiario.com/cultura/20230724/feria-internacional-libro-celebrara-24-agosto-3-septiembre-plaza-cultura_764893.html";"listindiario.com";"unknown journalist";"Dominican Republic";"es";"699997";"25";"2"
"4be3a2d168382aa77684d282bd79ad1a07f4790d89fb3987b94dc33730091eae41b2b3db84a30ac1b2258cb76a409a270787da309f2ea6e59413264c7484480e";"2023-08-29 12:15:45";"Usuarios de Google Meet podrán pedir a la IA que les sustituya en sus reuniones virtuales – El Nuevo Diario (República Dominicana)";"https://elnuevodiario.com.do/usuarios-de-google-meet-podran-pedir-a-la-ia-que-les-sustituya-en-sus-reuniones-virtuales/";"elnuevodiario.com.do";"unknown journalist";"Dominican Republic";"es";"54805";"1";"2"
