"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"b6edd87b664a356f8ea488f411a6a059fea8b519887d0825842a000496a0f9f54955fe4c396580378f385d0c2052c5373f432fe02f33903dcb69b38c2020df52";"2023-08-30 09:53:00";"Tome nota: así puede activar el autocorrector en Outlook y evitar errores en sus textos";"https://www.semana.com/tecnologia/articulo/tome-nota-asi-puede-activar-el-autocorrector-en-outlook-y-evitar-errores-en-sus-textos/202335/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"1";"2"
"174ecf429e4efd0c45ff2766644d8c03895f83fc465667af41b45606c2bce6e5a3a217573ecfbf77133a61b1a443602c04b4fe14c3d2d9f50a9e28804746afcd";"2023-09-18 12:28:00";"Equipo de Microsoft que trabaja con IA información íntima de empleados";"https://www.semana.com/tecnologia/articulo/equipo-de-microsoft-que-trabaja-con-ia-informacion-intima-de-empleados/202321/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"5";"2"
"7ce91c2b8f469beb086d6fbe017ae2bee2f0513373229e954f806fa9de7e0c94566df82b1027660dca17a6712f94e418d480108110af59418d3c5bce4836489c";"2023-07-05 14:37:00";"Firefox lanza actualización pensando en ordenadores más antiguos";"https://www.semana.com/tecnologia/articulo/firefox-lanza-actualizacion-pensando-en-ordenadores-mas-antiguos/202343/";"semana.com";"unknown journalist";"Colombia";"es";"282895";"20";"2"
"36125584920cacbedc147aebe81a365149f8c87c4d1fd87e60fa1e3126147dd9f57aadef645047752359158bd5c58ce28151988502c6fc3a5502df1ac04fe14b";"2023-07-13 16:30:00";"Adiós a la icónica Calibri: Microsoft anuncia la llegada de Aptos como fuente predeterminada";"https://www.enter.co/cultura-digital/el-popurri/adios-a-la-iconica-calibri-microsoft-anuncia-la-llegada-de-aptos-como-fuente-predeterminada/";"enter.co";"Digna Irene Urrea";"Colombia";"es";"114077";"1";"2"
"9411b94cdc06a384dc4aaba8e61751da04b46a09265bd9e7b1377c92bb5d24e4cb9e606c808f0f10107179a6b337b2bc282008d9f2a19b690093fbb37ad9514e";"2023-07-09 05:47:00";"El truco infalible para crear una carpeta invisible en un computador con Windows";"https://www.semana.com/tecnologia/articulo/el-truco-infalible-para-crear-una-carpeta-invisible-en-un-computador-con-windows/202317/";"semana.com";"unknown journalist";"Colombia";"es";"282895";"37";"2"
"c8ae13bfea5a7d8634c9043194dee027ac848b2661ef6f8071aa58a111f49b50c69dd3822470518dcab9de578bf37a3756342867afee8f5d4738f77aec898600";"2023-08-18 02:20:00";"Xbox introduce sistema de sanciones para fomentar interacción respetuosa entre usuarios";"https://www.eltiempo.com/tecnosfera/videojuegos/xbox-lanza-sistema-de-sanciones-para-que-jugadores-se-respeten-en-linea-797356";"eltiempo.com";"unknown journalist";"Colombia";"es";"726205";"0";"2"
"2ba499753d364031449bfddc8a1ba85b57b40361413c7c50bada4ecca6b4ba67e2d18ae291f81bb13ade175ce5c655b995974198dfe6656a11fdddd8c61b7938";"2023-09-21 12:33:00";"Un clic puede destruir tu identidad";"https://impactotic.co/opinion/un-clic-puede-destruir-tu-identidad/";"impactotic.co";"Josué Ariza";"Colombia";"es";"8951";"7";"2"
"03773b4bd5bb7fc0fa89ce1c3760efc04e2d6505120e370998b4d36678735d0f3683272af5e866ef025f312779f53e1cd550d330d40b3b6c16b46d08a6a2410c";"2023-09-20 08:33:00";"Microsoft reveló su equivocación: filtraron más de 38 terabytes de datos";"https://www.eltiempo.com/tecnosfera/apps/microsoft-filtra-por-error-contrasenas-y-mas-de-30-000-mensajes-de-sus-empleados-807970";"eltiempo.com";"Vanessa Perez Castellanos";"Colombia";"es";"726205";"0";"2"
"7019576eecdc72c73e8091448c3b7b09a00a129e850e56ef485059ace6cf69996cb1fae60c17c29edea9e0bcdb46ef7392166083c3e646c38be7be39c1f21dd5";"2023-07-26 03:59:00";"Gigantes de la inteligencia artificial en EE. UU. acuerdan regularse; ¿de qué se trata?";"https://www.semana.com/tecnologia/articulo/gigantes-de-la-inteligencia-artificial-en-ee-uu-acuerdan-regularse-de-que-se-trata/202353/";"semana.com";"Journalist Unknown";"Colombia";"es";"291733";"13";"2"
"a42b4f1b1583ec3f554e33411f431c852bda99e2c30defd2b46a7a66d1969f55e9e14c732a62db66c99de291964811518948a9a1e82a973a83d39d1eb5ee4a92";"2023-08-04 11:14:00";"Nearby Share, de Google, ahora permite enviar y recibir carpetas enteras de archivos";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/nearby-share-ahora-permite-enviar-y-recibir-carpetas-enteras-de-archivos-792506";"eltiempo.com";"Journalist Unknown";"Colombia";"es";"726205";"1";"2"
