"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"222de1390f15c9f5a4799bf5cbe475bad3bf0db6529078f51779cb3d7e0a138b6f61198c03fc0ef4cabbea0331716900425213201ac8430b13fe39da0a051682";"2023-08-16 12:49:27";"Congressista dos EUA diz que espiões da China hackearam seu e-mail";"https://www.estadao.com.br/internacional/congressista-republicano-eua-espioes-china-hacker-e-mail-nprei/";"estadao.com.br";"Joseph Menn";"Brazil";"pt";"597225";"1";"2"
"705ec785d7451fc4681be091c8c7aa1b2783e867ad27bc44365817974ed1b2723e7dec29a38e58741575ade2b9de1ee503fbb1e92eaa0fb4ec7734fe36473ad3";"2023-08-23 11:08:00";"Xbox precisa ter mais presença mobile para prosperar, afirma Phil Spencer";"https://www.adrenaline.com.br/games/xbox-precisa-ter-mais-presenca-mobile-para-prosperar-afirma-phil-spencer/";"adrenaline.com.br";"Felipe Gugelmin";"Brazil";"pt";"43518";"45";"2"
"b62d3ff249cf6bf060ae5abb4937907a857a60d692060d746b21e9178b61c80bca69357a468d687c109007388f75e31330cf94c36fd1c9c859fb9ec2bc842f49";"2023-08-28 11:10:00";"Como baixar WhatsApp no PC ou notebook Windows, macOS, iPhone e Android";"https://www.techtudo.com.br/guia/2023/08/como-baixar-whatsapp-no-pc-ou-notebook-windows-macos-iphone-e-android-edsoftwares.ghtml";"techtudo.com.br";"Aricia Faria";"Brazil";"pt";"1004060";"21";"2"
"a4c69b4400b06e149090ad2952579d3f198b490c00376508287d425c70115754f81baac41f0eefa4db7e37c26d5dc599a3a7953084b2e9b55c1fede561fe8885";"2023-09-14 02:09:59";"OFERTA: Placa de Vídeo GeForce RTX 4060 VERTO Dual Fan, PNY, NVIDIA, 8GB GDDR6 por R$ 1.899,00";"https://www.adrenaline.com.br/oferta/placa-de-video-geforce-rtx-4060-verto-dual-fan-pny-nvidia-8gb-gddr6-2/";"adrenaline.com.br";"Unknow Jornalist";"Brazil";"pt";"43518";"7";"2"
"f0194a3c38b7637c0747198f790c3a5a3cb465781f6d35db7e56be456a284e39e0ff7279b147f4d9664759042ab01065fb09280b8c187d0881e5471da0a1c755";"2023-09-25 13:46:53";"Amazon investe US$ 4 bilhões em empresa de IA";"https://www.cnnbrasil.com.br/economia/amazon-investe-us-4-bilhoes-em-empresa-de-ia/";"cnnbrasil.com.br";"Brian Fung";"Brazil";"pt";"24367";"8";"1"
"8ee8f931c2e83aba59a5e4a4f7bd14ccae0fe818112962ab3638b79d89ba4536e4eea2144e2adce7a81e400d3cd6252dcbd355ddceaa02534379f32aa78805c1";"2023-09-28 12:47:00";"EUA denunciam 60 mil e-mails do governo hackeados em suposto ataque chinês";"https://istoedinheiro.com.br/eua-denunciam-60-mil-e-mails-do-governo-hackeados-em-suposto-ataque-chines/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"0b5b0f8fdd445fb2e4e54174d23598c18b2df8f9f493bbdcc4e827524c336f23225fcce4808d9d711c89247efa9da16773bd6d86f32854352b3c398156e2b21d";"2023-09-22 07:49:00";"Reino Unido está pronto para aprovar novo acordo entre Microsoft e Activision";"https://forbes.com.br/forbes-tech/2023/09/reino-unido-esta-pronto-para-aprovar-novo-acordo-entre-microsoft-e-activision/";"forbes.com.br";"unknown journalist";"Brazil";"pt";"55801";"0";"2"
"4132f99f45e3e40482a76ea6dafd413d4028208373833b50ad6321f2e427138c5dc3c14aa1a44adab4a0ac24c3f6cc48bfb69aff58f77949ace0ffb0598cac13";"2023-09-26 14:44:43";"‘Julgamento secreto’ do Google tenta esconder a força das gigantes da tecnologia";"https://www.estadao.com.br/link/empresas/julgamento-secreto-do-google-tenta-esconder-a-forca-das-gigantes-da-tecnologia/";"estadao.com.br";"Nico Grant, Cecilia Kang, Tripp Mickle";"Brazil";"pt";"597225";"5";"2"
"d5e35757a2f6f68f9386d5ef46509adaf0a06f28b41d38ec0ba11615b85a2c516aea3c0b7bc489e2d8f622583f766e56c54fb8706cf21cb977ba613dafa670e5";"2023-09-28 14:51:00";"25 anos do Google: de inovações tecnológicas aos desafios regulatórios";"https://itforum.com.br/noticias/25-anos-google/";"itforum.com.br";"Rafael Romer";"Brazil";"pt";"21534";"3";"2"
"83022e87e1ce39ee8790495bfdc9a01fcb7af2a7a97ad2c302fe00dc2c627bef996df9da821afacc2cecbf4bc753818892c4be98a45be31d848df64d0f424035";"2023-09-22 03:28:00";"Microsoft está perto de fechar compra da Activision, com sinal positivo de órgão do Reino Unido";"https://oglobo.globo.com/economia/negocios/noticia/2023/09/22/microsoft-esta-perto-de-fechar-compra-da-activision-com-sinal-positivo-de-orgao-do-reino-unido.ghtml";"oglobo.globo.com";"Bloomberg";"Brazil";"pt";"1060041";"4";"2"
