"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"ba2e1c95b25d827641ce33e2f804fc51d8b448219ecec083735fe512ebefaafeedabed0430ff72eca8e55b37e5b6bddeef06270626376a28352f3ffae55a40ae";"2023-10-11 04:13:00";"Google, Microsoft, Amazon y Cloudflare mitigan el mayor ataque DDoS registrado";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/google-microsoft-amazon-y-cloudflare-mitigan-el-mayor-ataque-ddos-registrado-815023";"eltiempo.com";"Journalist Unknown";"Colombia";"es";"726205";"0";"2"
"2a98528029bcb45ad5af6dde2609ba2412034e94fa5dce2dc0f87111bbb2f8a039aaa4934b504cac1e51aa38f87fe02ea11e39f820302830b189c92e1c001607";"2023-10-18 14:20:00";"Amazon mejora su logística con un robot bípedo, nuevas máquinas de empaquetado y el análisis de daños en vehículos";"https://www.lanacion.com.ar/agencias/amazon-mejora-su-logistica-con-un-robot-bipedo-nuevas-maquinas-de-empaquetado-y-el-analisis-de-danos-nid18102023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"37e7591cae83896471318579d2d9fe9d142d5718800be764c9f23716a4e4bb5e6ea2188f1e22fb46ad0e32bdf2e6a3febdf9d6187e50c1b9f335d8c51c6088e1";"2023-10-20 05:45:00";"Así es el robot bípedo que usará Amazon en sus centros de logística para armar los envíos";"https://www.lanacion.com.ar/tecnologia/asi-es-el-robot-bipedo-que-usara-amazon-en-sus-centros-de-logistica-para-armar-los-envios-nid20102023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"27";"2"
"fafc9608465c1864aa4d92249d9cc5acb1da58e4af5d3cd49ccc4a0b7b0d7d2275fa1927db89a7c7ff75855318d66f803b596cf7b8ba98e41dc9b69a8c7187c2";"2023-10-24 19:50:00";"Resumen-microsoft apuesta por la ia para impulsar su negocio en nube, alphabet aún no halla el lado positivo";"https://www.lanacion.com.ar/agencias/resumen-microsoft-apuesta-por-la-ia-para-impulsar-su-negocio-en-nube-alphabet-aun-no-halla-el-lado-nid24102023/";"lanacion.com.ar";"Akash Sriram";"Argentina";"es";"1095407";"0";"2"
"5ecedfc87b0ee1a07c7218e18851acd2987bce73ad5535eddee7d77d00c32d32570c2366f4a86b557e535ccc3bd249ec8a0b5e9e3065e82664d753ed2aafb0d4";"2023-07-28 01:30:00";"Hecho en Corea del Norte: descubren un nuevo virus que funciona como una molotov digital";"https://www.clarin.com/tecnologia/hecho-corea-norte-descubren-nuevo-virus-funciona-molotov-digital_0_fR36LRX5mj.html";"clarin.com";"Juan Brodersen";"Argentina";"es";"1365747";"90";"2"
"d3f466681b3c481ccd7effe72dfb20a46d9ce99eb9fc48be9c6bd5dc3551a8bdc0fb7bc39cf23032f56d3905431b908b92a2dae5de32c8f07a2e6a9554e38e91";"2023-08-30 22:08:00";"OutSystems y AWS presentan en Chile la conferencia “Low Code en el Retail” para enfrentar los desafíos del sector minorista en la era digital";"https://portalinnova.cl/outsystems-y-aws-presentan-en-chile-la-conferencia-low-code-en-el-retail-para-enfrentar-los-desafios-del-sector-minorista-en-la-era-digital/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"2";"2"
"8194c1cf0c6c1987052490f247c7d9d882ac42ccc4714eae379a177ee6b001e94afd45f4166f1549b7c2cf68918a7c33d01889c31a7eef4a29d154757fe22f9f";"2023-08-31 02:19:16";"Amazon Web Services ve oportunidad gigantesca para crecer la nube en México";"https://www.infobae.com/espana/agencias/2023/08/31/amazon-web-services-ve-oportunidad-gigantesca-para-crecer-la-nube-en-mexico/";"infobae.com";"unknown journalist";"Argentina";"es";"1529212";"0";"2"
"fe3a0206ae6d88fdafb2b7679044430d868e8c753172ca237db85e4007b0d0b906cee2bc39a5d3a29c75a0e967dc2af6e698330ecf970f73ef9e7b9a9faa6662";"2023-09-29 06:30:00";"AWS anuncia nuevos modelos fundacionales y capacidades GenAI para CodeWhisperer y QuickSight";"https://www.lanacion.com.ar/agencias/aws-anuncia-nuevos-modelos-fundacionales-y-capacidades-genai-para-codewhisperer-y-quicksight-nid29092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"7a69eb7dff58255496770b8a78713ffc1977126e3ef067620ba63a58a99d269014f7db10afd4eec25b32d6345de94684763c09f021d46039efe45f8f1b58dc38";"2023-09-14 08:28:00";"VeeamON Tour Buenos Aires 2023: “Mantenemos el negocio funcionando”";"https://www.itseller.cl/2023/09/14/veeamon-tour-buenos-aires-2023-mantenemos-el-negocio-funcionando/";"itseller.cl";"Leonardo Barbieri";"Chile";"es";"3942";"0";"2"
"d0d1011c9f4680543cf994b57e55af282f3171ed8a40d04433ff43054cd5b3291e3684ca4668e1a0f0c9a4396998eab57cdc2bf9bf99c9bd2d0a97d733ba00d3";"2023-10-02 03:16:00";"Amazon Web Services incorpora cinco innovaciones de IA Generativa en su plataforma";"https://www.forbesargentina.com/innovacion/amazon-web-services-incorpora-cinco-innovaciones-ia-generativa-su-plataforma-n41646";"forbesargentina.com";"Pablo Wahnon";"Argentina";"es";"18077";"45";"2"
