"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"c8c49005158027f58df3198819e503989430d7ee16021fc99d7e5d5d516198d904b6963350061222087b056b51fd3e2b53d50821d8dc581cf81b4b5cc8931565";"2023-07-27 07:23:00";"AWS lanza siete nuevos cursos para aprender IA generativa";"https://portalinnova.cl/aws-lanza-siete-nuevos-cursos-para-aprender-ia-generativa/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"0";"2"
"59e57a1ad35c6f5f24716ab1a289e853185e83dff80c54ecf251434a2f463707870ee9d9ad1136140dd19abc69fecc332cd55b32b6b7ee45049fee741c5d781c";"2023-08-01 20:16:00";"Acumulando polvo y datos: cómo las aspiradoras robóticas pueden espiarte";"https://portalinnova.cl/acumulando-polvo-y-datos-como-las-aspiradoras-roboticas-pueden-espiarte/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"2";"2"
"527e11ae1fcb4d99e8a97a35e3f972e1b7195e60ba88b475063e41b8e0fa168b02f2d8e4e05958af2b45c56295a905965c21cd49e173ba28fd62e5090f49962f";"2023-07-25 09:23:00";"Las habilidades digitales que buscan las empresas en los jóvenes";"https://peru21.pe/cheka/aws-las-habilidades-digitales-que-buscan-las-empresas-en-los-jovenes-dia-mundial-de-las-habilidades-de-la-juventud-juan-pablo-rincon-noticia/";"peru21.pe";"unknown journalist";"Peru";"es";"404231";"5";"2"
"ac9a84fd1f74401189adabaf75a1829eadd11adbc364736ea3f1bf4a5308e45bb1fd2caeb45f915e379734f8727c5867af7ff9c7ac742c24e9cd03654fb353cd";"2023-10-23 01:55:00";"Amazon utilizará un robot humanoide en su almacen para armar envíos";"https://elcomercio.pe/tecnologia/robotica/amazon-utilizara-un-robot-humanoide-en-su-almacen-para-armar-envios-noticia/";"elcomercio.pe";"unknown journalist";"Peru";"es";"1037420";"2";"2"
"162bb80c94fdcec99946240b58f83d73635ef3ca833af2a533b6c70fd32d7ac059d15e8e0fbd7c438aa7b3a1695eb1de8ea181e001445674a3ae48aa3bcf784b";"2023-07-30 05:13:00";"Cómo aprender sobre IA generativa con estos siete sencillos cursos de AWS";"https://www.forbesargentina.com/innovacion/como-aprender-sobre-ia-generativa-estos-siete-sencillos-cursos-aws-n38038";"forbesargentina.com";"Nicolás Della Vecchia";"Argentina";"es";"18077";"9";"2"
"6ff33081a70ee1e3287ce37ce75486761158a64d864390df58ae894a570abadcfabefd6215a66a9f3ba8641217cc67c893d3c5ad4a23cd0f74862c62e36746ee";"2023-09-29 08:25:00";"AWS anuncia nuevos modelos fundacionales y capacidades GenIA: aquí algunos detalles";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/aws-anuncia-nuevos-modelos-fundacionales-y-capacidades-genai-811012";"eltiempo.com";"unknown journalist";"Colombia";"es";"726205";"8";"2"
"99beb1e744c43e568ba8265c798d54f2fed220ec6010ca17c0c2540c6e1ed462ce29802570b60bb43097d950db26bb5c4b43ac7837bd662995d5f3dcd08853be";"2023-10-20 08:59:00";"Data y contenido en un futuro biométrico y de inteligencia artificial";"https://www.infobae.com/peru/2023/10/20/data-y-contenido-en-un-futuro-biometrico-y-de-inteligencia-artificial/";"infobae.com";"Freddy Linares-Torres";"Argentina";"es";"1529212";"0";"2"
"66df3038adbef863415abda0d9dd44e983a87b22d81be2b7e2b8a7b5ef9cb7a2b7b12e4ec779c80c328bae28beb8d5c660a8b57967059371b9ae6e67f8025756";"2023-09-28 13:05:00";"Nubes para desarrolladores: ¿Qué capacidades ofrecen los grandes CSPs? (Parte 1)";"http://www.itsitio.com/ar/nubes-para-desarrolladores-que-capacidades-ofrecen-los-grandes-csps-parte-1/";"itsitio.com/ar";"Alejandro Alonso";"Argentina";"es";"4179";"0";"2"
"b88a89f3f6aa6c8d8dadad8c5498c45a1f3869fe1db23dec5133c20d41ed1987a5865b453b78db8178540077c372bb8aca0d743552c624dbefea887886f6663a";"2023-10-18 14:31:00";"Amazon apuesta por un nuevo sistema robótico y más IA en almacenes para agilizar envíos";"https://forbes.co/2023/10/18/ia/amazon-apuesta-por-un-nuevo-sistema-robotico-y-mas-ia-en-almacenes-para-agilizar-envios";"forbes.co";"unknown journalist";"Colombia";"es";"4403";"0";"2"
"5618bf27d89719ca5cf9e4801e38b1708968df767f6c726b63a5fc0c126b87820fab81dbdf90119b06e407077a20ef4f97563dc12f17d4de753e3bb827a03718";"2023-09-03 20:10:00";"Talento Nutresa está buscando profesionales para que cubran cargos altos";"https://www.semana.com/finanzas/articulo/talento-nutresa-esta-buscando-profesionales-para-que-cubran-cargos-altos/202308/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"1";"2"
"37e7591cae83896471318579d2d9fe9d142d5718800be764c9f23716a4e4bb5e6ea2188f1e22fb46ad0e32bdf2e6a3febdf9d6187e50c1b9f335d8c51c6088e1";"2023-10-20 05:45:00";"Así es el robot bípedo que usará Amazon en sus centros de logística para armar los envíos";"https://www.lanacion.com.ar/tecnologia/asi-es-el-robot-bipedo-que-usara-amazon-en-sus-centros-de-logistica-para-armar-los-envios-nid20102023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"27";"2"
"d3f466681b3c481ccd7effe72dfb20a46d9ce99eb9fc48be9c6bd5dc3551a8bdc0fb7bc39cf23032f56d3905431b908b92a2dae5de32c8f07a2e6a9554e38e91";"2023-08-30 22:08:00";"OutSystems y AWS presentan en Chile la conferencia “Low Code en el Retail” para enfrentar los desafíos del sector minorista en la era digital";"https://portalinnova.cl/outsystems-y-aws-presentan-en-chile-la-conferencia-low-code-en-el-retail-para-enfrentar-los-desafios-del-sector-minorista-en-la-era-digital/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"2";"2"
"fe3a0206ae6d88fdafb2b7679044430d868e8c753172ca237db85e4007b0d0b906cee2bc39a5d3a29c75a0e967dc2af6e698330ecf970f73ef9e7b9a9faa6662";"2023-09-29 06:30:00";"AWS anuncia nuevos modelos fundacionales y capacidades GenAI para CodeWhisperer y QuickSight";"https://www.lanacion.com.ar/agencias/aws-anuncia-nuevos-modelos-fundacionales-y-capacidades-genai-para-codewhisperer-y-quicksight-nid29092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"7a69eb7dff58255496770b8a78713ffc1977126e3ef067620ba63a58a99d269014f7db10afd4eec25b32d6345de94684763c09f021d46039efe45f8f1b58dc38";"2023-09-14 08:28:00";"VeeamON Tour Buenos Aires 2023: “Mantenemos el negocio funcionando”";"https://www.itseller.cl/2023/09/14/veeamon-tour-buenos-aires-2023-mantenemos-el-negocio-funcionando/";"itseller.cl";"Leonardo Barbieri";"Chile";"es";"3942";"0";"2"
"d0d1011c9f4680543cf994b57e55af282f3171ed8a40d04433ff43054cd5b3291e3684ca4668e1a0f0c9a4396998eab57cdc2bf9bf99c9bd2d0a97d733ba00d3";"2023-10-02 03:16:00";"Amazon Web Services incorpora cinco innovaciones de IA Generativa en su plataforma";"https://www.forbesargentina.com/innovacion/amazon-web-services-incorpora-cinco-innovaciones-ia-generativa-su-plataforma-n41646";"forbesargentina.com";"Pablo Wahnon";"Argentina";"es";"18077";"45";"2"
"da7db3b763b2636b13c3eb90d07dbc916a216bb19b0cc2b26851a2d632f8051fb551b6950670967b6f6ef94b8fac328a54625b4e99b08f4c25fd5e24b60ae0fd";"2023-10-19 09:50:00";"Amazon presenta una reforma de sus almacenes con robots para acelerar las entregas";"https://www.latercera.com/pulso-pm/noticia/amazon-presenta-una-reforma-de-sus-almacenes-con-robots-para-acelerar-las-entregas/V3HN47FATBCUTME7MSRGBSZL4E/";"latercera.com";"Sebastian Herrera";"Chile";"es";"717648";"3";"2"
"25bac6071bdd2cfbcd6a9d86488dfdc6317fa1934c37901248850097b45695b9106890e01d155729631b4e09fa229229ac0065e6f4b4c7a6f35d660f0c5e20fc";"2023-10-20 02:30:00";"Amazon da un paso en automatización con robots, IA y drones de reparto para 2024";"https://www.eltiempo.com/tecnosfera/novedades-tecnologia/amazon-da-un-paso-en-automatizacion-con-robots-ia-y-drones-de-reparto-para-2024-818003";"eltiempo.com";"Unknwon journalist";"Colombia";"es";"726205";"16";"2"
"e7ec384605196654c0a5b54b34b8f9f991208496e26105d1e152d77fae27a049cf7c4d49d8876e89827a1621758b5a45b071664009ee134854a358e4feaf229a";"2023-10-20 22:20:07";"Amazon implementa robots con inteligencia artificial para sus almacenes";"https://www.primicias.ec/noticias/tecnologia/amazon-robots-inteligencia-artificial/";"primicias.ec";"unknown journalist";"Ecuador";"es";"91444";"18";"2"
