"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"a552b4651b893395d8726893a3ec362ffb5d8db96aebf78aa1c8f13d6e3c549495828dd5a0616a8841c284e6b95d83aee417155402bf7d7446bb2cfa4ab5fad5";"2023-07-12 09:03:33";"Hackers en China accedieron a cuentas de email de gobiernos europeos, según Microsoft";"https://www.elnuevodia.com/noticias/mundo/notas/hackers-en-china-accedieron-a-cuentas-de-email-de-gobiernos-europeos-segun-microsoft/";"elnuevodia.com";"unknown journalist";"Puerto Rico";"es";"264700";"0";"2"
"656d87d77b71e31cf72a17dda7ff8919d83ec7820c04d22223cee16a18ad2abd0e85afe1b90be449bb239259a0b239ffa7a94774f3fb6320efc7673dd1c82d18";"2023-07-14 08:00:00";"Musk da pocos datos de su IA y dice que no será entrenada para ser políticamente correcta";"https://elnuevodiario.com.do/musk-da-pocos-datos-de-su-ia-y-dice-que-no-sera-entrenada-para-ser-politicamente-correcta/";"elnuevodiario.com.do";"unknown journalist";"Dominican Republic";"es";"54805";"0";"2"
"61112f6ce6f1b33104240e5c3fcd85798585223d01a069324ba0892c28bde0089b8534de653900163707404a26e4365d36dfed3376cf98b5fff941d90b2c07d4";"2023-10-11 08:45:00";"El camino estratégico para la modernización digital: la Inteligencia Artificial Generativa y la Multinube";"https://revistasumma.com/el-camino-estrategico-para-la-modernizacion-digital-la-inteligencia-artificial-generativa-y-la-multinube/";"revistasumma.com";"unknown journalist";"Costa Rica";"es";"18996";"0";"2"
"ee22d75b6e0cbe513031e1cb4e60e29b7b136d69cf6905ef633b7e8dfa56fef0d66b272b4a8894976017ae54994654d58c14fd0f0d497a82874c7359cea07528";"2023-10-05 00:00:00";"Microsoft: Los ciberataques están más centrados en espiar que en destruir";"https://www.estrategiaynegocios.net/tecnologia-cultura-digital/microsoft-los-ciberataques-estan-mas-centrados-en-espiar-que-en-destruir-PE15662058";"estrategiaynegocios.net";"unknown journalist";"El Salvador";"es";"26019";"1";"2"
"a3abd2f051cf3af2e53dfa25ee237712c6a2a36e0665592dbb769bc13b8408dfab2085044e5b63274961e81ee0cb86abb013bc95c400b5803d3d9aec6877ab7c";"2023-07-12 14:54:00";"Hackers en China accedieron a emails del Pentágono y del gobierno, dice EEUU";"https://listindiario.com/las-mundiales/ee-uu/20230712/hackers-china-accedieron-emails-pentagono-gobierno-dice-eeuu_763198.html";"listindiario.com";"unknown journalist";"Dominican Republic";"es";"699997";"0";"2"
"a2d966aa171dab1d0f1dc999651bfd8d47c988d07bc0d90cb6bab4c8c771333c77b0b2c81e4856df97a87b12a2623bd379c29017804e9411fb12feea66544341";"2023-10-05 10:54:00";"Los ciberataques están más centrados en espiar que en destruir";"https://listindiario.com/la-vida/tecnologia/20231005/ciberataques-mas-centrados-espiar-destruir_776160.html";"listindiario.com";"Journalist Unknown";"Dominican Republic";"es";"699997";"0";"2"
"7a11dd98705c3fb3b677cd1129ad5f2c43018f83b1295aca45f7ee753a2b60da5f58dd35236192a8f7080530ce1ab324c99c4698d7ea493e180430e41cb4db77";"2023-07-21 20:20:12";"Biden anuncia compromiso de empresas tecnológicas sobre seguridad de IA";"https://www.diariolibre.com/usa/actualidad/2023/07/21/biden-anuncia-compromiso-sobre-seguridad-de-la-ia/2410410";"diariolibre.com";"unknown journalist";"Dominican Republic";"es";"266708";"0";"2"
"07a732d72c7bac2bd0f7284d4b746b66a4e31645edc8b90945a8597ca5b99191cdf1a90c794348def4b6df8a26250ab32c47cae725c8dac7aee73884c2b89c83";"2023-07-12 10:41:56";"Microsoft asegura que hackers en China accedieron a cuentas de e-mail de gobiernos europeos";"https://www.elnuevodia.com/noticias/mundo/notas/microsoft-asegura-que-hackers-en-china-accedieron-a-cuentas-de-e-mail-de-gobiernos-europeos/";"elnuevodia.com";"Journalist Unknown";"Puerto Rico";"es";"264700";"18";"2"
"c426f9c1924acb8c1f551b5049afd550775e59cf8339a9668a2412a5f13e0b52924c230b56f0d55e3f149efcaa56329398c04ec575b34419b8eea7ff2f7d3e36";"2023-07-18 11:39:00";"Microsoft 365 Copilot costará a las empresas US$30 al mes";"https://ct.moreover.com/?a=51329032179&p=8vr&v=1&x=479E2qs56VvykAZ5Pudz_Q";"estrategiaynegocios.net";"unknown journalist";"El Salvador";"es";"26019";"0";"2"
"0333808bb5b6e9c3c497f0e1dbcb2c9074eef0f8a4745f5c6209de630fbd02b9c8206a4039e814c524783fcd1cbeb956b96b745051706e9d1d5448b5c22a2adb";"2023-09-18 11:33:00";"Ciberseguridad para PYMES: Cómo proteger tu empresa de los ciberataques actuales";"https://revistasumma.com/ciberseguridad-para-pymes-como-proteger-tu-empresa-de-los-ciberataques-actuales/";"revistasumma.com";"unknown journalist";"Costa Rica";"es";"18996";"0";"2"
