"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"6edfcf69ed78e42f21b1bd914d32a550ae40e6567e2692c65887f65f77cbc9dd6d61b0850e8f9dcbd8a7b8ced290ab62201901aedbf4cfb5b82543726b565e36";"2023-08-07 11:00:00";"Estrenos de juegos en Xbox del 7 al 11 de agosto";"https://geekzilla.tech/estrenos-de-juegos-en-xbox-del-7-al-11-de-agosto/";"geekzilla.tech";"unknown journalist";"Mexico";"es";"2731";"0";"2"
"2dc3ea955340d7f46cf8e1c6a30cd733878f5262ed98b9d90cd3ba2c0c3f0cb593754e2e60bfadc6f7a6dce0e0ad105c597648738328ce11fa829e98a3eddc80";"2023-08-01 13:16:00";"Alertan sobre ""HotRat"", nueva ciberamenaza emergente";"https://computerworldmexico.com.mx/alertan-sobre-hotrat-nueva-ciberamenaza-emergente/";"computerworldmexico.com.mx";"Redacción";"Mexico";"es";"2404";"9";"2"
"0adec4975fda4bc3d53e03d85324935f6a112a3d3c3cbec479c4efb1c88cf36f8de713ad9aba37a57b723c37e12144a7e2e82669c04461c785bd40daca88f104";"2023-09-15 12:23:14";"¿Cuántos suscriptores tiene Xbox Game Pass? Ejecutivo lo revela por descuido";"https://www.levelup.com/noticias/755678/Cuantos-suscriptores-tiene-Xbox-Game-Pass-Ejecutivo-lo-revela-por-descuido";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"174";"2"
"b150fb3274ba5e0e8e94a0535f0d5fa408762cdafe3f6ddbb0089e84b97c8e1fc29a2b3c1d97b02b966590eb24cd99f57d59144847c6ffe3596a801e4830b912";"2023-09-18 07:00:00";"EU, España, India, Japón y Reino Unido urgen regulación internacional para la IA";"https://www.forbes.com.mx/eu-espana-india-japon-y-reino-unido-urgen-regulacion-internacional-para-la-ia/";"forbes.com.mx";"unknown journalist";"Mexico";"es";"218300";"2";"2"
"41c1ba376db1523ec4a99153383aa887226a82bc0a735772a6717f9cd6fb643079aa5904c836135b796a3953cedb770e83a5f56d98ae31e8a50df115447f687a";"2023-07-13 13:09:00";"Microsoft confirma que ciberdelincuentes chinos accedieron a cuentas de correo del Gobierno estadounidense";"https://cio.com.mx/microsoft-confirma-que-ciberdelincuentes-chinos-accedieron-a-cuentas-de-correo-del-gobierno-estadounidense/";"cio.com.mx";"Mireya Cortés";"Mexico";"es";"9855";"1";"2"
"dd36fb320d4a00d81096a9fa0657938a44301fdf9a6e1816692233bf4a3544d4682e4c8cca9e1f2659c48f55aec7fdbc025c04eb056c1d12cf9307f16de8aa37";"2023-07-17 19:00:00";"Microsoft y la CMA reciben visto bueno para negociar la compra de Activision";"https://ct.moreover.com/?a=51323499505&p=8vr&v=1&x=QCaPBtKzKOKQ3xW8IRRItA";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"88";"2"
"72786d4f674e70f001a552c7dccfdbb9ea1712b21cc7afe80a1e942445213f67a2f2da46f15b3b0db3e7ced95efe2866ec850139cbe539f821a49cb2e1139c50";"2023-09-04 11:44:03";"Elon Musk cree que esta red social de Microsoft es “vergonzosa”; confía en que X será superior";"https://www.levelup.com/noticias/753906/Elon-Musk-cree-que-esta-red-social-de-Microsoft-es-vergonzosa-confia-en-que-X-sera-superior";"levelup.com";"Ulises Contreras";"Mexico";"es";"100829";"33";"2"
"7f06a2a2325253cf1d97b14cf3d029fee63b7bf0a819a0a2e513125c3878ab21546c1e5b6f186917629d69778b6ce3c1bb64e7c8d192ded890465e53e51b3fd5";"2023-07-18 19:00:00";"Compra de Activision se retrasa; Microsoft pacta nueva fecha límite para completarla";"https://ct.moreover.com/?a=51336657266&p=8vr&v=1&x=sJl5G3QJSpE7j3J1OkLvQg";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"55";"2"
"cdf8186ad746739fad7049e274972ac44bd86911496eae84eaa4c2a951db6f70ea312103a37274990f04a1bd5683ac5a5f911fc3a0ef3327045d808564c67700";"2023-08-27 22:38:12";"Liberando el potencial de la IA para todos";"https://www.eleconomista.com.mx/opinion/Liberando-el-potencial-de-la-IA-para-todos-20230827-0039.html";"eleconomista.com.mx";"Diana Coyle";"Mexico";"es";"207936";"0";"2"
"e60e069628e0783dd7e26595523d1ddd0a02d805eb0162d33dc507e7b6d33c677305f8a22c0e141b2523149baea5d9d5c976efa12e227ea73691aab328c7b08c";"2023-09-05 09:30:00";"4 rasgos de malos jefes, según ex vicepresidente de RH de Microsoft";"https://businessinsider.mx/malos-jefes-directivos-malos-recursos-humanos_estrategia/";"businessinsider.mx";"Chris Williams";"Mexico";"es";"68346";"8";"2"
"426d97015d5aa954a056c94741a70a20ef1f232fa413d98988caba4a6346ca51ca9a8f03ec62ce931549e9a3377c2644c10bfafd5b8a08fe1199f860fbf9bb98";"2023-07-24 14:00:00";"Microsoft y Google podrían entregar datos personales a Arabia Saudita";"https://businessinsider.mx/microsoft-google-datos-personales-arabia-saudita_tecnologia/";"businessinsider.mx";"Héctor Cueto";"Mexico";"es";"68346";"14";"2"
"2bb43655cb7fcc5b36115a8c3f80cf0caf1d4a0dc3927f1beef1e49ea658cb880c927757723d9351011b67fdd6797f51eac99346ca3acbcdda847a9d2531b5d8";"2023-09-18 13:30:00";"El nuevo Xbox llegará en 2028: documentos de Microsoft revelan que ya preparan al sucesor de Series X|S";"https://www.xataka.com.mx/videojuegos/nuevo-xbox-llegara-2028-documentos-microsoft-revelan-que-preparan-al-sucesor-series-x-s";"xataka.com.mx";"xataka.com.mx";"Mexico";"es";"58968";"12";"2"
"8316a906a9593309b145555e231ebd6ce380ffcff8e841edba2aea6ef000839dd70a71260f4d2565d7863d01eba49d9da8b1b18518295d7a046703fa0fcb6fbd";"2023-09-21 07:00:00";"Xbox Series S tuvo 75% de usuarios de la actual generación de Xbox";"https://www.levelup.com/noticias/756578/Xbox-Series-S-tuvo-75-de-usuarios-de-la-actual-generacion-de-Xbox";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"74";"2"
"5ebe0deac2ef234de418f3af98f79125dc9ff157daac23d7217ae3e2c0933fad7687184acdfcac6495eb46949d278ea0e85144ea5204e843f325de21164dd293";"2023-07-14 22:14:36";"Hackers chinos usaron fallo en código para robar correos electrónicos de agencias de EU: Microsoft";"https://www.eleconomista.com.mx/tecnologia/Hackers-chinos-usaron-fallo-en-codigo-para-robar-correos-electronicos-de-agencias-de-EU-Microsoft-20230714-0067.html";"eleconomista.com.mx";"unknown journalist";"Mexico";"es";"207936";"2";"2"
"a5e592ecc7f5d4e4459deae2ed95b5386abf3507f538263fc7978cf141d6b20bdfafe0df2c17ffd0215039863007357eecad6bbeafd845048f6a1b59b50f163c";"2023-07-05 02:16:00";"EE. UU. quiere impedir que China entrene sus modelos de IA en AWS o Azure";"https://dplnews.com/ee-uu-quiere-impedir-que-china-entrene-sus-modelos-de-ia-en-aws-o-azure/";"dplnews.com";"dplnews.com";"Mexico";"es";"44797";"1";"2"
"7f4ec36be5c8bf17a8f4081d4a8e209df4aa621d3734be6cff2dbd421b7098ce5fde8774cef69c8d5b11918bbd315e1e49abe74f8d0133f746190d6b4810e7f6";"2023-07-31 11:54:00";"Samsung y Microsoft lanzan solución de atestación en dispositivo";"https://computerworldmexico.com.mx/samsung-y-microsoft-presentan-solucion-de-atestacion-en-dispositivo-para-empresas/";"computerworldmexico.com.mx";"unknown journalist";"Mexico";"es";"2404";"3";"2"
"e02b3997627adfe28c133a69b00e1b8dbf4f8b38157ebef822b8ceeae4b6512b81cb0abe9f662dc110aa3fb7affd65b326091dcb2bc4f34fb78af74c7a640a5a";"2023-07-12 14:01:22";"Hackers chinos atacan cuentas del gobierno de EU, revela Microsoft";"https://www.eluniversal.com.mx/mundo/hackers-chinos-atacan-cuentas-del-gobierno-de-eu-revela-microsoft/";"eluniversal.com.mx";"unknown journalist";"Mexico";"es";"806440";"0";"2"
"d81910e1348ac95c9ebb4f404374e60146589e9dcb89d6a3eb2c66599125d58322eb21f72c8b9a96a5abb3928a807fc6769cbf55e8e8ee8f9f7b98aea29c50ec";"2023-08-17 14:48:04";"El fin de una era. Microsoft cerrará la tienda digital de Xbox 360";"https://expansion.mx/tecnologia/2023/08/17/microsoft-cerrara-store-xbox-360";"expansion.mx";"unknown journalist";"Mexico";"es";"163254";"8";"2"
"715472d0820392ddf746071f5e6295c47a3b9cf81095d67995a15946c0144d4891e4b2f53d966f6d8404dbb83c165a0f8f6ca86090919347fec3c445d3a8df0a";"2023-09-28 07:00:00";"Analizando la anatomía de los ataques de Ransomware";"https://cio.com.mx/analizando-la-anatomia-de-los-ataques-de-ransomware/";"cio.com.mx";"unknown journalist";"Mexico";"es";"9855";"1";"2"
"8938445ab3b8b2cf9e467242a1362e7431269c574310b546333875a20921e4dd52bb3d9c318fda8ff67c1ba621eaaad60c15887736b5e720cdc75448406e21b6";"2023-10-20 15:45:47";"Copilot e IA generativa: exposición de datos puede llevar a deep fakes corporativos";"https://cio.com.mx/copilot-e-ia-generativa-exposicion-de-datos-puede-llevar-a-deep-fakes-corporativos/";"cio.com.mx";"CIO Publishing";"Mexico";"es";"9855";"0";"2"
"757fcdf30ab3a1b4243e1431caaf871c92184125ddcff3f84335d36d86fba371e4c3924709b7c5605445800d99000e9145a3535bb7338c827af49092e3a609b2";"2023-10-11 15:22:34";"Inteligencia artificial, herramienta contra el cambio climático";"https://cio.com.mx/inteligencia-artificial-herramienta-contra-el-cambio-climatico/";"cio.com.mx";"Journalist Unknown";"Mexico";"es";"9855";"11";"2"
