"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"686e32410de6e17e4eabecc3dfdf4065133c0c96211373965cb986eba720307fed6f9db08b0c6e080e5a1750f1e68b3101951b7edcdc002872172c5ea0c75349";"2023-07-25 17:50:00";"alphabet reporta ganancias superiores a las previstas, cfo asumirá nuevo cargo";"https://www.lanacion.com.ar/agencias/alphabet-reporta-ganancias-superiores-a-las-previstas-cfo-asumira-nuevo-cargo-nid25072023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"5315d0bfa702b7d87423f1b168afd1366660e3f859349c3fa22bf2514174f084d26e7fb7ea71279c4e1d22bb37001086a04adfc792baf45055c80f1cc2d0116e";"2023-07-26 16:15:37";"Google sube 6% en Bolsa por publicidad digital y su IA";"https://expansion.mx/mercados/2023/07/26/acciones-google-bolsa-ia-datos-de-servicio-de-nube";"expansion.mx";"Staff Writer";"Mexico";"es";"163254";"3";"2"
"e36c6851f319f8ee443a1b183403ca4b7f9cffb8c45d661803fb70d7f887602e86ba047b34d030c386369af13e52c7f85b5e831513f8686492638ae8aa06cfe9";"2023-08-29 04:59:00";"Inteligencia artificial podrá cubrirte en tus reuniones de Google Meet";"https://www.milenio.com/negocios/inteligencia-artificial-podra-cubrirte-en-tus-reuniones-de-google-meet";"milenio.com";"unknown journalist";"Mexico";"es";"615997";"2";"2"
"f07f7b6957736cfb7a231320c79b6d10418a7dcd6fc76f4f9ac016158ba6b4510f449afceca67fc525c8634f8d219408c4355d60f719d0498daaeb27d299d7a1";"2023-08-31 00:07:00";"Google Cloud establecerá operaciones en El Salvador";"https://dplnews.com/google-cloud-establecera-operaciones-en-el-salvador/";"dplnews.com";"Dinorah Navarro";"Mexico";"es";"44797";"2";"2"
"1b0e55bcbaca121fa411fda76dedae713924112d5bff4228f8493a8b75a93fd21c7130c220362f00b3c4344e6c7ee152ea203e1a78c207f086cfcc97e99562df";"2023-09-04 12:24:00";"Continental vai integrar serviços do Google Cloud a painel de veículos";"http://forbes.com.br/forbes-tech/2023/09/continental-vai-integrar-servicos-do-google-cloud-a-painel-de-veiculos/";"forbes.com.br";"Fernanda Almeida";"Brazil";"pt";"55801";"2";"2"
"d5e35757a2f6f68f9386d5ef46509adaf0a06f28b41d38ec0ba11615b85a2c516aea3c0b7bc489e2d8f622583f766e56c54fb8706cf21cb977ba613dafa670e5";"2023-09-28 14:51:00";"25 anos do Google: de inovações tecnológicas aos desafios regulatórios";"https://itforum.com.br/noticias/25-anos-google/";"itforum.com.br";"Rafael Romer";"Brazil";"pt";"21534";"3";"2"
"ee3180aa334e3ad9cbf2c5bf63cea35f28177e29044b882ebaad785a2f1a15bfd4cc46701ac10004394915fcc1a870b61767cfab0562d5a77e6336cd8ab75972";"2023-08-23 04:00:00";"Fator físico de autenticação bloqueia ataques de phishing";"https://itforum.com.br/noticias/fator-fisico-de-autenticacao-bloqueia-ataques-de-phishing/";"itforum.com.br";"Laura Martins";"Brazil";"pt";"21534";"0";"2"
"8b9976e73573fb8c186e59722b8f401a675c4afa4aa49aaa5a5881a2329ca6430cf47c86dc5cd67885435e841e98f26d39bf02f8ee20812f04fa361e4a22c73f";"2023-09-04 08:11:00";"Google faz 25 anos: IA é ameaça e esperança para a companhia";"https://gizmodo.uol.com.br/google-faz-25-anos-ia-e-ameaca-e-esperanca-para-a-companhia/";"gizmodo.uol.com.br";"Thiago Ney";"Brazil";"pt";"197617";"2";"2"
"51558257d4eb900c6c5a09eb87d9c7dfe9ed86d6ee865c7f5fc3e804bce9d02c07be255c67f8840b68a85eb42222704b76172c2af19b2d542ea7c2234a587ccd";"2023-08-14 07:00:00";"¿Qué es la PNL? Explicación del Procesamiento del Lenguaje Natural";"https://cio.com.mx/que-es-la-pnl-explicacion-del-procesamiento-del-lenguaje-natural/";"cio.com.mx";"By José Luis Becerra Pozas";"Mexico";"es";"9855";"0";"2"
"1a265696e9578adcadda384480912eceb5279d4f8bbbbcfe6b998c32a5c569970bee8616cc653103195726806975f05ffe5af8447f8146fa109784f8497466ee";"2023-08-11 16:54:27";"Revista Channel News - Crecimiento de servicios de infraestructura cloud se ralentiza";"http://www.emb.cl/channelnews/noticia.mvc?nid=20230811p2&ni=crecimiento-de-servicios-de-infraestructura-cloud-se-ralentiza";"emb.cl";"Journalist Unknown";"Chile";"es";"22985";"0";"2"
