"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"a40518c1e2c616399ae7a01275832b72fe08c9eaf646112654d1aec3464136a5b075776db58e16a69120963dfd729d8fa09b2c2365dea066c7c59b0e0cfac724";"2023-08-30 10:47:00";"Compensar tiene oportunidades laborales para la ciudad de Bogotá; pagan más de 4 millones y solo exigen 1 año de experiencia";"https://www.semana.com/finanzas/articulo/compensar-tiene-oportunidades-laborales-para-la-ciudad-de-bogota-pagan-mas-de-4-millones-y-solo-exigen-1-ano-de-experiencia/202329/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"2";"2"
"b83f9cd43a83611c1cfec478f46d3e674ec04b7b14737286f64ddc4f161a325d1c2de1f967e6dde601cdfda02eed61e848155b1e1ad09aa8dddcd8edd72dfa8b";"2023-09-11 13:50:00";"ChatGPT. Escritores demandan a OpenAI por presunto uso de sus escritos";"https://www.milenio.com/tecnologia/chatgpt-escritores-demandan-openai-presunto-escritos";"milenio.com";"unknown journalist";"Mexico";"es";"615997";"44";"2"
"98667cf5a4233973855375c0ec8c645d754612baf734f2a5efc90cdebffed198f3e84abc51af58acd9c937b4c8423816825e798b48c25341514963f3c807a7fa";"2023-09-29 16:28:00";"Las 17 principales herramientas de gestión de costos de la nube y cómo elegir";"https://cio.com.mx/las-17-principales-herramientas-de-gestion-de-costos-de-la-nube-y-como-elegir/";"cio.com.mx";"José Luis Becerra Pozas";"Mexico";"es";"9855";"0";"2"
"249a80f9f12ca08d1c145aca0366c20222ada2655fa88e5373a1c1a17b7b373945c873b92f0316e45c520571224e9bfb61ba236f8bcec1ac37f92845b01a54dc";"2023-07-11 02:58:00";"Microsoft lança o Dev Box, estação de trabalho em Nuvem para desenvolvedores";"https://inforchannel.com.br/2023/07/11/microsoft-lanca-o-dev-box-estacao-de-trabalho-em-nuvem-para-desenvolvedores/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"7442";"0";"2"
"abc4b913671f6823ba161fc68b8b30f638fc06fcf0023df69b56da04ac9d3e884a21d908a8529da79d5236db2bd7ad54ce4f710fce67d2f9b393b50c6ce78526";"2023-07-14 21:04:00";"Musk da pocos datos de su IA y dice que no será entrenada para ser políticamente correcta";"https://lopezdoriga.com/ciencia-tecnologia/musk-da-pocos-datos-de-su-ia-y-dice-que-no-sera-entrenada-para-ser-politicamente-correcta/";"lopezdoriga.com";"unknown journalist";"Mexico";"es";"53854";"13";"2"
"29a15b4fe2e0f55d7b6bda1c8601d76f43f6a8c8aedb1047958f9544e5b9d0a0787ffd87376535cc1b5b46deb4f29f02fe183659fc4bb69780e1771a9d12f28a";"2023-09-15 12:45:16";"Microsoft y Oracle amplían su colaboración";"https://cio.com.mx/microsoft-y-oracle-amplian-su-colaboracion/";"cio.com.mx";"unknown journalist";"Mexico";"es";"9855";"0";"2"
"a09ee8819f465499ccf4c0adf3d382f3ab9772c647e389d913ea4676483968960ca2d6c7f73687d4476a076d28a04da1c6d24ebe4e48658f99af526efc6f2d50";"2023-09-28 14:50:16";"EY lanza plataforma de inteligencia artificial";"http://www.emb.cl/gerencia/noticia.mvc?nid=20230928w3&ni=ey-lanza-plataforma-de-inteligencia-artificial";"emb.cl";"emb.cl";"Chile";"es";"22985";"0";"2"
"b57a3201e9bc9b4b51a3e9d26cee328ef09be330af3cf187817010fb4ad190da6d43143b23f80723ea6a9bb6c621cf1a975168d0547c3cec753009c6026becf7";"2023-07-18 14:25:33";"Microsoft superó récords en Bolsa gracias a sus apuestas por la inteligencia artificial";"https://www.larepublica.co/globoeconomia/microsoft-supero-records-en-bolsas-gracias-a-sus-apuestas-por-la-inteligencia-artificial-3661032";"larepublica.co";"unknown journalist";"Colombia";"es";"69642";"16";"2"
"47172033f581b1271b54d6c2d4b30fc1e4d0e5ca055701251124b6d046f45808635ca1f1084f9a697710ee28ff38f8d7f2329344587508e4b1c248d209029315";"2023-07-21 11:46:00";"Windows por R$79,00 e pacote Office por R$87,00: confira ofertas de produtos da Microsoft";"https://www.adrenaline.com.br/microsoft/windows/keys-baratas-windows-e-office/";"adrenaline.com.br";"unknown journalist";"Brazil";"pt";"43518";"93";"2"
"c5b49a4d654901a469db67a61b2e0990335e8cc382e0f8c803cd16d6956aecde786e790d1a870b83e4ffc70c69075b1d2ceac6bc2612e09f20e64ea3471940e9";"2023-07-25 02:58:00";"Red Hat expande ofertas da plataforma JBoss Enterprise no Microsoft Azure";"https://inforchannel.com.br/2023/07/25/red-hat-expande-ofertas-da-plataforma-jboss-enterprise-no-microsoft-azure/";"inforchannel.com.br";"Unknow Jornalist";"Brazil";"pt";"8194";"0";"2"
