"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"bb517c31ba1d5894917c8b4b0116fe859fe0730cf6f8b1c8d0eacb3be637ddb20193d332008c84cb6aeab2376e3a610ff6bfa7bc4d8b94c69ee87eb46106e587";"2023-09-01 05:58:00";"Gentrop é reconhecida pelo Google Cloud como Parceiro do Ano na AL";"https://inforchannel.com.br/2023/09/01/gentrop-e-reconhecida-pelo-google-cloud-como-parceiro-do-ano-na-al/";"inforchannel.com.br";"Unknow Jornalist";"Brazil";"pt";"8194";"0";"2"
"f251f846384aece0c5d0978053403e32877c39e76ce8b2d2ec02c40c6a44de4cd9fc0afe060bf2111d3113fc721e2b7bf6cbe7b81cc1b457c3f3bbabda2ed658";"2023-09-19 05:00:00";"IA em todo lugar: Google começa a integrar Bard a busca, Gmail e YouTube";"https://www.uol.com.br/tilt/noticias/redacao/2023/09/19/ia-em-todo-lugar-google-comeca-a-integrar-bard-a-busca-gmail-e-youtube.htm";"uol.com.br";"Giacomo Vicenzo";"Brazil";"pt";"4794257";"13";"2"
"c9354d85117213d44b158b8f571646e7785a20fd0bcb4fc82ee93a6d0e9e17748b6db3a260590489d26bbae4a7663c2ca9f5f2c9097483627b57ede9c5971ea0";"2023-07-06 11:26:00";"Google Drive se va y esta es la razón por la que muchos están asustados por su desaparición";"https://www.semana.com/tecnologia/articulo/google-drive-se-va-y-esta-es-la-razon-por-la-que-muchos-estan-asustados-por-su-desaparicion/202359/";"semana.com";"Unkown journalist";"Colombia";"es";"282895";"26";"2"
"404fa1fa6b6239f27e9ffbac1a33be84341a65b50a149b957708ecc66dce01544c8a80e9a34566b490913ae325c59866792f304306471bbf2b86c605c548da60";"2023-07-18 03:09:00";"Esta firma de Wall Street explicó por qué las acciones de Alphabet están infravaloradas";"https://www.forbesargentina.com/money/esta-firma-wall-street-explico-acciones-alphabet-estan-infravaloradas-n37285";"forbesargentina.com";"Journalist Unknown";"Argentina";"es";"14777";"4";"2"
"b2f2ef1865d64b94a22931832a950df6798acf8e0758f56718d585d081191421af190c21661568e4a38872f49d8eebe981fc35e2c51223e3dadd58490eb392c3";"2023-07-23 15:48:00";"¿Dónde y cómo se archivan los correos de Gmail?";"https://www.excelsior.com.mx/hacker/gmail-donde-y-como-se-archivan-los-correos-electronicos/1599309";"excelsior.com.mx";"G. Pacheco";"Mexico";"es";"450630";"6";"2"
"88bfd63351cc98e741b8a40328e04b7d2f80e939e42e2d26f2c14b265675ec4e18e4bbbaf309989c84d3f6f338f864a746c7a3f2d589c3016732c87a6065528a";"2023-08-10 12:48:00";"Ya se pueden realizar firmas digitales en Google Docs y Google Drive con ‘eSignature’, así funciona";"https://www.semana.com/tecnologia/articulo/ya-se-pueden-realizar-firmas-digitales-en-google-docs-y-google-drive-con-esignature-asi-funciona/202306/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"10";"2"
"6d531e5f3f052890c9d0f7dee6a66cfa5509bc299111597825bf5f040771330763dbf969a835f916b096f65abd095317e04978c99ebecd7bc3e31f0647da74cb";"2023-08-17 14:41:17";"Trabalho de ‘coach’ entra em ameaça com nova inteligência artificial do Google";"https://www.estadao.com.br/link/cultura-digital/inteligencia-artificial-coach-profissional-google/";"estadao.com.br";"Nico Grant";"Brazil";"pt";"597225";"8";"2"
"f3b2a8a13eacf6cfc4a36c77c6b241e252df35755c7b0fd32269c2d4d8a4111f5f43995c7d2b6ed92ca7e6f83586c239ade53ca6c0c180f82d8b8161a5019e5e";"2023-08-30 06:23:00";"Cómo usar la nueva función de Google Flights para ahorrar dinero";"https://www.primicias.ec/noticias/tecnologia/boletos-baratos-viajes-google-flights/";"primicias.ec";"unknown journalist";"Ecuador";"es";"91444";"9";"2"
"ecc8afae5bd02100a3cf243441cc28f22623661bc24704b22c155c7f729eade4cf6a8725a1afab1f51da1e0832d58998dee888658d79689a37c98dace9d9e762";"2023-09-15 09:00:00";"Google diz que gerou R$ 4 bilhões para desenvolvedores de aplicativos";"https://www.cnnbrasil.com.br/economia/google-diz-que-gerou-r-4-bilhoes-para-desenvolvedores-de-aplicativos/";"cnnbrasil.com.br";"unknown journalist";"Brazil";"pt";"24367";"23";"2"
"73e33253438865543ace8358b7c1560167960bc2ab818f95a704c12d826b92ad64cd17af76da90264adaa8a6c15417c3cba82921b8c327bcbba36fb7eb7ef2d3";"2023-07-08 17:59:01";"Qué es Google Sites y cómo funciona";"https://www.infobae.com/tecno/2023/07/08/que-es-google-sites-y-como-funciona/";"infobae.com";"Stephanny Pinzón";"Argentina";"es";"1442272";"31";"2"
