"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"d1412badf223691ee0317d2f3f69d1f99096482de44bad7c1b043bf8335bac3557b14b456961e391f0ec26a44f9f5abfdf301da1a15364839ae6ebc66d6d1239";"2023-08-08 14:18:00";"Android 14 terá melhorias de segurança “inéditas” para redes celulares";"https://canaltech.com.br/android/android-14-tera-melhorias-de-seguranca-ineditas-para-redes-celulares-258940/";"canaltech.com.br";"Felipe Demartini";"Brazil";"pt";"338531";"7";"2"
"aaffdfbc0dc5d5953771151f89a648ee2f5f38dfca32a59f03b0d214d47949df3b6cb8e6a628ca3b9eb419754dd624e9357cdf3fe80a6ff9bd35a7c3a05c044c";"2023-08-16 02:00:00";"Google Drive: Cómo proteger y encriptar los datos almacenados";"https://www.estrategiaynegocios.net/tecnologia-cultura-digital/google-drive-como-proteger-y-encriptar-los-datos-almacenados-CE14898486";"estrategiaynegocios.net";"unknown journalist";"El Salvador";"es";"26019";"3";"2"
"74b032edc0a419884b4ebc65a047ff1b1b4c71a0e4024180eba1301ad44567c5eac3440c272a99750dec3c4d07598ab2f32136e4e7961984c8363535c3111a7c";"2023-08-30 09:20:00";"Con este trucazo podrá saber si su correo de Gmail ha caído en la Dark Web";"https://www.semana.com/tecnologia/articulo/con-este-trucazo-podra-saber-si-su-correo-de-gmail-ha-caido-en-la-dark-web/202305/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"3";"2"
"2599c6fa3bb0b4c292fdd50d3826782f6c7fa244912723ed1d19d87d6229faf78e5ea3d222c0733ebfeac277bdf3350b98780418a6018d0c24a46232faa2d384";"2023-09-08 14:41:43";"A qué se dedican los hackers rojos, los guardianes de la ciberseguridad";"https://www.infobae.com/tecno/2023/09/08/a-que-se-dedican-los-hackers-rojos-los-guardianes-de-la-ciberseguridad/";"infobae.com";"unknown journalist";"Argentina";"es";"1529212";"37";"2"
"47dc98df86b3abbd8a70ecb619d0cc8a5a8366b1536bba9ea26ba8e0770c87f6cadad49380443088763b030d37879a5bd2e2e702b30ef839fcf110dcab208593";"2023-09-13 19:09:58";"Falha de segurança afeta Chrome, Firefox, Edge e mais apps – Tecnoblog";"https://tecnoblog.net/noticias/2023/09/13/falha-de-seguranca-afeta-chrome-firefox-edge-e-mais-apps/";"tecnoblog.net";"Giovanni Santa Rosa";"Brazil";"pt";"175722";"28";"2"
"cb03f7e0abf7cb5f680c450aa73d8aca46ea977a95d3fb0c2483ad6781e028cfe0946f49a34eee45c2428cc41f7b907cb2744698f4ed41dee4b52a1f081e4e1d";"2023-09-22 10:20:33";"Google é processado após homem se afogar quando seu carro caiu de ponte; família alega que ele usava Google Maps";"http://www.estadao.com.br/link/google-maps-familia-homem-morreu-afogado-carro-caiu-processo-google-nprei/";"estadao.com.br";"unknown journalist";"Brazil";"pt";"597225";"1";"2"
"b32320e56b82facff1521c696fe2ec06e1771d6eef2ce517443c9f1a244c4ef0248a6adc19bf0ee629f418da26c1fbc4f02e0496ef1e7a5e9b5640da673b3cd8";"2023-07-03 10:00:00";"Google Chat llega recargado con nueva funciones inteligentes y más parecido a WhatsApp";"https://www.enter.co/chips-bits/apps-software/google-chat-llega-recargado-con-nueva-funciones-inteligentes-y-mas-parecido-a-whatsapp/";"enter.co";"Digna Irene Urrea";"Colombia";"es";"114077";"18";"2"
"afc181061fdf5cfa70b037db3abb48e529a18d27871f92b853f0d2bb93631d1d438ca67b31cb1aaaee472cc53d9069290564cdbe0bdaa499e667a40b4e8cef8e";"2023-07-14 16:13:06";"Google Play intensificará medidas contra malware em aplicativos";"https://www.tecmundo.com.br/software/266381-google-play-intensificara-medidas-malware-aplicativos.htm";"tecmundo.com.br";"Jean Carlos Foss";"Brazil";"pt";"544623";"19";"2"
"0f43e6a127d63312b542bc111bd1591654f4d8303f4b9cd0c53b3c5bba86b207aa949bf75a0a1c319ea6c182d7ca0f3f7359d52ccf1d506aa705b67fac5377d0";"2023-07-21 11:10:00";"Como atualizar o WhatsApp";"https://canaltech.com.br/apps/como-atualizar-o-whatsapp-android-e-iphone/";"canaltech.com.br";"Thiago Furquim";"Brazil";"pt";"308117";"1";"2"
"198a239649f6af4dc283baa75b307450370ff45dd34b2ca3dcb6680004cba54ead31cd18482fd13194bd8f51af83c7d5a5b1b47a539732d92ec9ddaac99aebb2";"2023-07-21 18:02:18";"Google confirma data para deletar contas inativas do Gmail e YouTube";"https://www.tecmundo.com.br/internet/266696-google-confirma-data-deletar-contas-inativas-gmail-youtube.htm";"tecmundo.com.br";"Carlos Palmeira";"Brazil";"pt";"544623";"44";"2"
"00d8f58f8781a03d8f99a1040ff0234acceb63f3c65a529833b4ce7ae8374e5ebf77d7255dc5c3d3d60d1f29999872c6f6284b0522582bad54a998df8fef07c0";"2023-08-29 09:44:46";"Google Cloud Next 23: los 15 anuncios sobre el futuro de la nube, inteligencia artificial y ciberseguridad";"https://www.infobae.com/tecno/2023/08/29/google-cloud-next-23-los-15-anuncios-sobre-el-futuro-de-la-nube-inteligencia-artificial-y-ciberseguridad/";"infobae.com";"Juan Ríos";"Argentina";"es";"1529212";"29";"2"
"b6edd87b664a356f8ea488f411a6a059fea8b519887d0825842a000496a0f9f54955fe4c396580378f385d0c2052c5373f432fe02f33903dcb69b38c2020df52";"2023-08-30 09:53:00";"Tome nota: así puede activar el autocorrector en Outlook y evitar errores en sus textos";"https://www.semana.com/tecnologia/articulo/tome-nota-asi-puede-activar-el-autocorrector-en-outlook-y-evitar-errores-en-sus-textos/202335/";"semana.com";"unknown journalist";"Colombia";"es";"291733";"1";"2"
"3c955147666acb1b64d9fe9adb09884001bb4425fbfd6f356643ac8298e695a15389b5c930afe9950f66f7fd5f6706bac0dc6de1c4a247d5dd017b95bce430e0";"2023-09-05 14:04:00";"25 cosas que Google transformó en un cuarto de siglo";"https://businessinsider.mx/google-25-anos_tecnologia/";"businessinsider.mx";"Marissa Espinosa";"Mexico";"es";"68346";"5";"2"
"42d3d9f07b56f64fa5e70af79e473b7017defce01682dbf77fbac954caa3d69b4a677f95c83baa9b30d59bea0762658c774fa51a790e4e93c1e997cb54578b81";"2023-09-04 16:22:00";"El 12,5% de las extensiones de Chrome, Firefox y Safari pueden extraer información confidencial de los usuarios";"https://www.lanacion.com.ar/agencias/el-125-de-las-extensiones-de-chrome-firefox-y-safari-pueden-extraer-informacion-confidencial-de-los-nid04092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"9f80abf72900da7eae5d7ddd48361734c78433df3cdd40072271a873326f92b41fc205214aa64173840ef749bbcba928ba941071f96889320afee824769871ad";"2023-09-14 04:00:00";"Google Chrome es el navegador más apuntado por los cibercriminales - TrendTIC";"http://www.trendtic.cl/2023/09/google-chrome-es-el-navegador-mas-apuntado-por-los-cibercriminales/";"trendtic.cl";"Journalist Unknown";"Chile";"es";"3457";"0";"2"
"325a72dbeff42602c0407a1521585110b9edc486a69b9e201d12a3c8769f7b55b6c0964d762726aff2ea3824012d98208231ddc3ec59f6f7994bacbc7210b53f";"2023-09-22 08:11:00";"Nintendo agrega soporte para &apos;passkeys&apos; en dispositivos iOS y Android";"https://www.lanacion.com.ar/agencias/nintendo-agrega-soporte-para-apospasskeysapos-en-dispositivos-ios-y-android-nid22092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
