"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"31dbb5315a47f03ea2829385974cdeab5549ed5cd7d5f6fd5ae09c6ad81f071d7a5085c34f70560c93cdcdd83083b1ee6a7a13a2218d9c680145ff8bfe76106c";"2023-09-05 13:00:00";"Microsoft registra patente de mochila inteligente com IA que ajuda a 'ver ao seu redor'";"https://epocanegocios.globo.com/tecnologia/noticia/2023/09/microsoft-registra-patente-de-mochila-inteligente-com-ia-que-ajuda-a-ver-ao-seu-redor.ghtml";"epocanegocios.globo.com";"Soraia Alves";"Brazil";"pt";"132427";"1";"2"
"365a4b427fc0ab2b0f74397ebe6664d9cf7c3c384c23553a619231eae5dcbda9687e19b722a57383cb1fe39ac3b95840154e32d59ea01ad257b57aa40a73df58";"2023-08-31 12:12:07";"Microsoft busca ideas innovadoras para proteger el medioambiente";"https://www.elnuevodia.com/brandstudio-publishing-partner/microsoft/notas/microsoft-busca-ideas-innovadoras-para-proteger-el-medioambiente/";"elnuevodia.com";"unknown journalist";"Puerto Rico";"es";"264700";"45";"2"
"e219835df632d818a7c194d8a0ebc2a70afb7c17fef9c3820c88b26c46d6070735978d69120b27b2af26aaf581ccfc969dfb74cfc2f671a0f9e58d03df076346";"2023-07-10 07:00:00";"Microsoft y sus ambiciosas metas en materia de Sostenibilidad";"https://impactotic.co/microsoft-y-sus-metas-de-sostenibilidad/";"impactotic.co";"Daniela Jaramillo Castillo";"Colombia";"es";"8951";"17";"2"
"2ea9ab60d7255e7ac874817a972326d6a595c1e8fe8477d6bcf9900acdd1b5f491f54fa7b9374c38532c16bc267d86ff8b131197373368c97c5b21f3cca927fe";"2023-09-04 09:43:59";"A inteligência artificial vai piorar as mudanças climáticas?";"https://www.estadao.com.br/sustentabilidade/a-inteligencia-artificial-vai-piorar-as-mudancas-climaticas/";"estadao.com.br";"unknown journalist";"Brazil";"pt";"597225";"19";"2"
"7af3d70bc23291faa0ebfcbc9de28a7e3c8a6751ca173116e375b4b14265a69050b8327d03763b8653e517e4610c431020d1d89f022553de199ad888dd502301";"2023-09-28 21:37:00";"Microsoft busca concretos mais sustentáveis para seus centros de dados";"https://olhardigital.com.br/2023/09/28/pro/microsoft-busca-concretos-mais-sustentaveis-para-seus-centros-de-dados/";"olhardigital.com.br";"Rodrigo Mozelli";"Brazil";"pt";"209607";"1";"2"
"72492bcb9b5ebc84457551c99ceb5b58d9261f2738dd4f95d4f22d45417acae665cfd480c0876b008ee7adaf7da21c612487844d7cd36fc0f382aa9f4c1ba268";"2023-08-22 07:00:00";"gamescom 2023: resumen con todos los anuncios, trailers y novedades del evento";"https://www.levelup.com/noticias/752114/gamescom-2023-resumen-con-todos-los-anuncios-trailers-y-novedades-del-evento";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"13";"2"
"2f236ac23f5bfb0c6f6716f47f157ac6e000a9132d0956cad25f6e5b3d026f9c7063b293b646f60c45e470db14ab33620c803d7e44824e6cbfaa8b8d1a2583ea";"2023-09-01 04:00:00";"AES Brasil e Microsoft assinam acordo de energia renovável em projeto de R$1 bi";"https://epocanegocios.globo.com/empresas/noticia/2023/09/aes-brasil-e-microsoft-assinam-acordo-de-energia-renovavel-em-projeto-de-r1-bi.ghtml";"epocanegocios.globo.com";"epocanegocios.globo.com";"Brazil";"pt";"132427";"2";"2"
"05951d99d27eafe65acc6901087e4b1f9abc39b9054457569be81ca0aad031aa338506ad1bacfe7ad89c45ec310ada861af7b2d2b6125ee50b6af972a1689c19";"2023-08-08 09:59:00";"Como a inteligência artificial prejudica o meio ambiente";"https://istoedinheiro.com.br/como-a-inteligencia-artificial-prejudica-o-meio-ambiente/";"istoedinheiro.com.br";"unknown journalist";"Brazil";"pt";"122995";"0";"2"
"1fcf3d301e827063068fbdce58edf6e3b46ced2044848221b41e3f7d2d5d58790e9a88ef48e50c44e1b26012725662531743488533854d976ef7f78889db4a84";"2023-09-26 02:00:00";"Recuo da Lego nas peças recicladas, a compra de R$ 2 bi da WEG para crescer no exterior e o que importa no mercado";"https://www1.folha.uol.com.br/mercado/2023/09/recuo-da-lego-nas-pecas-recicladas-a-compra-de-r-2-bi-da-weg-para-crescer-no-exterior-e-o-que-importa-no-mercado.shtml";"folha.uol.com.br";"Artur Búrigo";"Brazil";"pt";"560911";"2";"1"
"943d2671182c99e3a567a1d9d9b62a464172087897c8bc3aa985e0353138e36f54145790fbb9a3789d1d3fcd76fc1bf942d7c072515ef05e6c2345f6572aa8d7";"2023-09-01 06:19:00";"AES Brasil e Microsoft assinam acordo de energia renovável em projeto de R$1 bi";"https://www.uol.com.br/tilt/noticias/reuters/2023/09/01/aes-brasil-e-microsoft-assinam-acordo-de-energia-renovavel-em-projeto-de-r1-bi.htm";"uol.com.br";"unknown journalist";"Brazil";"pt";"4794257";"2";"2"
