"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"7e854b3ca0f8d15a767d2ae89aa8a160d2d9f87b170627464ce611b969719314278a0b3297e33830903abe012b8885d0a254116fbcd1c1fc8907f620c83cf6ac";"2023-08-07 05:58:00";"Novo Salesforce Einstein Studio facilita implementação de modelos de IA";"https://inforchannel.com.br/2023/08/07/novo-salesforce-einstein-studio-facilita-implementacao-de-modelos-de-ia/";"inforchannel.com.br";"unknown journalist";"Brazil";"pt";"8194";"0";"2"
"9e23bd06d782483836dc665b476198198a09dc6de78cedc4ccf37ba3e6595f721625c818de550f989fea6b2aa2eb353e2ca25ef018bebba13e2ece2397bc3dba";"2023-08-31 06:19:00";"Google and Amazon agree to work together on JBL speakers";"https://www.itworldcanada.com/post/google-and-amazon-agree-to-work-together-on-jbl-speakers";"itworldcanada.com";"unknown journalist";"Canada";"en";"20385";"0";"2"
"c76f7e9c74b483661e95c28daa8b0d775f744e7d7c6a30993d6764df8afa165eae6fadf3a5b50e223e21a963d8ec9470d8a57fd2d8d2aa1c1015ca9ea103be11";"2023-09-03 07:57:00";"Primeiros socorros: será que Siri, Alexa e Google assistente podem ajudar em casos de emergência? Estudo responde";"https://oglobo.globo.com/saude/noticia/2023/09/03/primeiros-socorros-sera-que-siri-alexa-e-google-assistente-podem-ajudar-em-casos-de-emergencia-estudo-responde.ghtml";"oglobo.globo.com";"Rio De Janeiro";"Brazil";"pt";"1060041";"16";"2"
"932bf69d182c8f49ed4470d1a7a4ecdcfe11106008dd332bbf2453cd23557b3ee83efe62e2c109d80dc48eed06126d3e8813194f54811110547b4101378b98fe";"2023-09-20 15:39:09";"Amazon atualiza Alexa para falar como humanos com apoio de inteligência artificial";"https://www.tecmundo.com.br/software/271830-amazon-atualiza-alexa-falar-humanos-apoio-inteligencia-artificial.htm";"tecmundo.com.br";"Wellington Arruda";"Brazil";"pt";"566539";"79";"2"
"3cd7018145dfa7218f3a283b448ae4e2da18a14bb9cba182eff4602b037c2bb6ece5a2eeb7cbf6b719147ce7bc040bf73369ed3760459156a4d96d8578550088";"2023-09-26 18:26:54";"Amazon lancera son service sans caisse dans des arénas de Toronto et Calgary";"https://www.lesaffaires.com/secteurs/commerce-de-detail/amazon-lancera-son-service-sans-caisse-dans-des-arenas-de-toronto-et-calgary/643731";"lesaffaires.com";"unknown journalist";"Canada";"fr";"35193";"1";"2"
"c0d3563a164af1872488e366aa0db86d6ffb82c2c306bcac2c50845dbd403fac847a001736025bcf8c12d1167d5f4167ccb9b375d0bfb8a60d163b3a7b1155e1";"2023-09-26 02:00:00";"Amazon tem vagas de estágio em tecnologia; veja como concorrer";"https://olhardigital.com.br/2023/09/26/pro/amazon-tem-vagas-de-estagio-em-tecnologia-veja-como-concorrer/";"olhardigital.com.br";"Alisson Santos";"Brazil";"pt";"209607";"1";"2"
"a50fa25ccd77c12dbc2793f2840a75253a8795b320601b94f4bb52ffbba06b9ee34e0d39b87d765567c90be63849d92953f6f1eb479c746d4179cdfb73758ed7";"2023-09-25 11:34:14";"Amazon destinará $4.000 millones en empresa Anthropic para competir con ChatGPT";"https://www.nacion.com/economia/negocios/amazon-destinara-4000-millones-en-empresa/RT3VXZJRCBCS3HP4V527NFWJPA/story/";"nacion.com";"unknown journalist";"Costa Rica";"es";"243411";"1";"2"
"fe3a0206ae6d88fdafb2b7679044430d868e8c753172ca237db85e4007b0d0b906cee2bc39a5d3a29c75a0e967dc2af6e698330ecf970f73ef9e7b9a9faa6662";"2023-09-29 06:30:00";"AWS anuncia nuevos modelos fundacionales y capacidades GenAI para CodeWhisperer y QuickSight";"https://www.lanacion.com.ar/agencias/aws-anuncia-nuevos-modelos-fundacionales-y-capacidades-genai-para-codewhisperer-y-quicksight-nid29092023/";"lanacion.com.ar";"unknown journalist";"Argentina";"es";"1095407";"0";"2"
"1e911dd3a2071493bf4c1a48058c6c851d4d6d9044abf3617473681fcc505ea8bf02fc9795626974665361ad2d8d08c2b663523a0e019b944f9eed330173a11a";"2023-09-28 06:19:00";"Hashtag Trending Sep. 28-Amazon hit with sweeping antitrust lawsuit; OpenAI eyeing hardware?; Hackers fight over who’s responsible for attacking Sony";"https://www.itbusiness.ca/news/hashtag-trending-sep-28-amazon-hit-with-sweeping-antitrust-lawsuit-openai-eyeing-hardware-hackers-fight-over-whos-responsible-for-attacking-sony/126189";"itbusiness.ca";"James roy";"Canada";"en";"4252";"2";"2"
"3d2c6692e0d57d34e759b33bb4b8256499f4d19427af2994e5dfbf9dc1b01917f74e567808bc50fa85084a8cc0fba4c44660ff91abe0cf506d07bdcf678be202";"2023-09-14 11:55:00";"Salesforce ratchets up Einstein’s intelligence at Dreamforce 2023";"https://channeldailynews.com/news/salesforce-ratchets-up-einsteins-intelligence-at-dreamforce-2023/83074";"channeldailynews.com";"Paul Barker";"Canada";"en";"1175";"0";"2"
