"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"6d4a013c3b84331acf1669b171ca9cf5ab7c06f384d7d933a74f5f570118be3e030846cba3a2760f27d9746a999d764601bb0f5bc8585c47e0c9d2ede19ad0a1";"2023-09-26 17:53:09";"Amazon y Anthropic colaboran en el avance de la IA generativa";"http://www.emb.cl/gerencia/noticia.mvc?nid=20230926p8&ni=amazon-y-anthropic-colaboran-en-el-avance-de-la-ia-generativa";"emb.cl";"unknown journalist";"Chile";"es";"22985";"0";"2"
"b5f44675b3bab697cf4c5365abcd0a8383a57a1791883096ed69f9c4f8f1befa8753ee5ac0db2d4721e3bef0c44cc1648c0806bbc22a7832448ecdef667ce415";"2023-07-14 09:00:00";"Talento Cloud: un nuevo podcast de AWS para inspirar a las personas a que transformen sus futuros a través de la tecnología en nube";"https://portalinnova.cl/talento-cloud-un-nuevo-podcast-de-aws-para-inspirar-a-las-personas-a-que-transformen-sus-futuros-a-traves-de-la-tecnologia-en-nube/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"2";"2"
"2b380c26879de24802acf4a4ee9adad9cf4ed50d1dee3083611ded40802bf6aeb0dbaa605fd553f439ff7928e977ebea6714dfd3dccb4aa5f9f5a6b29e9f23b0";"2023-09-28 20:20:59";"Ex vicepresidente de Microsoft encabezará la división de dispositivos y servicios de Amazon";"http://www.emb.cl/gerencia/noticia.mvc?nid=20230928p8&ni=ex-vicepresidente-de-microsoft-encabezara-la-division-de-dispositivos-y-servicios-de-amazon";"emb.cl";"unknown journalist";"Chile";"es";"22985";"0";"2"
"db58ad4b2fd720d06fec378932051c3d0918efa4b2e91d5e6b7ae020e828d4dc279923b0edc2424b3e6d7565ee9c6feb6aeb0e12dc0a491476fb87d09ef233ee";"2023-08-23 14:41:43";"Revista Channel News - Mercado de servicios en la nube crece 16% en segundo trimestre";"http://www.emb.cl/channelnews/noticia.mvc?nid=20230823p1&ni=mercado-de-servicios-en-la-nube-crece-16-en-segundo-trimestre";"emb.cl";"unknown journalist";"Chile";"es";"22985";"0";"2"
"15a994763c90e4f29e0369dbb81154d1bdfd466626cd5016dc9d2204b7f0f6bc15db450dda2899f5902126882fec242be717b4a3d175884cfcf4a309fb47a36f";"2023-09-19 16:38:24";"Amazon contratará a 250 mil trabajadores para esta temporada de ventas navideña y aumentará los salarios";"https://www.df.cl/empresas/multinacionales/amazon-contratara-250-mil-trabajadores-para-temporada-navidena-y";"df.cl";"unknown journalist";"Chile";"es";"45232";"20";"2"
"c18959cd45ae7e67de899a0c417b1c181607c62d530042f2f14c14a549a247058ea4054ea28f420bd380f1fedf205b8ee1013f62582bef1313ca22dbbf4a2f0b";"2023-09-21 16:17:33";"Revista Channel News - Nuevas instancias de AWS son impulsadas por procesadores Intel Xeon";"http://www.emb.cl/channelnews/noticia.mvc?nid=20230921w8&ni=nuevas-instancias-de-aws-son-impulsadas-por-procesadores-intel-xeon";"emb.cl";"unknown journalist";"Chile";"es";"22985";"0";"2"
"e5c759166599997dfa330d364ccf170ec8c45be02b76aa0a1ff1c2b5264a9799dfe6aca4a64d9a7619019e062f3602db493e61defc50e850bb27c9a373d0d48a";"2023-07-19 10:32:29";"Amazon registró primera caída de emisiones de carbono en 2022";"https://www.df.cl/df-lab/sostenibilidad/amazon-registro-primera-caida-de-emisiones-de-carbono-en-2022";"df.cl";"unknown journalist";"Chile";"es";"40370";"2";"2"
"a09ef2d29c0054040e1315739bfadf0edb4d6dad5cf2ad2b7efedd0bb0dc7c6a37027fef94b083f0cb5040e83fa55f870af950a6a7d571b805c9d743a1957152";"2023-08-04 00:31:52";"Amazon prevé ingresos del tercer trimestre superiores a las estimaciones y acciones suben 6%";"https://www.df.cl/empresas/multinacionales/amazon-preve-ingresos-del-tercer-trimestre-superiores-a-las-estimaciones";"df.cl";"unknown journalist";"Chile";"es";"45232";"9";"2"
"2177ca0b1d77682efc07ba4ff7cb436a705a8c7d3f5fbc5ff3958b3b31a56a41f148b13bd0b8946d65125c6b48a1bb32c6a0263fad7444ef15acedf6f8606bde";"2023-09-26 13:22:00";"Comisión de Comercio de EE.UU. y 17 estados demandan a Amazon por prácticas monopólicas";"https://www.emol.com/noticias/Economia/2023/09/26/1108246/comercio-eeuu-demanda-a-amazon.html";"emol.com";"Fischer, Emol";"Chile";"es";"1443365";"1";"2"
"1a265696e9578adcadda384480912eceb5279d4f8bbbbcfe6b998c32a5c569970bee8616cc653103195726806975f05ffe5af8447f8146fa109784f8497466ee";"2023-08-11 16:54:27";"Revista Channel News - Crecimiento de servicios de infraestructura cloud se ralentiza";"http://www.emb.cl/channelnews/noticia.mvc?nid=20230811p2&ni=crecimiento-de-servicios-de-infraestructura-cloud-se-ralentiza";"emb.cl";"Journalist Unknown";"Chile";"es";"22985";"0";"2"
"d3f466681b3c481ccd7effe72dfb20a46d9ce99eb9fc48be9c6bd5dc3551a8bdc0fb7bc39cf23032f56d3905431b908b92a2dae5de32c8f07a2e6a9554e38e91";"2023-08-30 22:08:00";"OutSystems y AWS presentan en Chile la conferencia “Low Code en el Retail” para enfrentar los desafíos del sector minorista en la era digital";"https://portalinnova.cl/outsystems-y-aws-presentan-en-chile-la-conferencia-low-code-en-el-retail-para-enfrentar-los-desafios-del-sector-minorista-en-la-era-digital/";"portalinnova.cl";"unknown journalist";"Chile";"es";"4672";"2";"2"
