"Article ID";"Published date";"Headline";"Url";"Outlet Name";"Author Name";"Country";"Language";"Impressions";"Shares";"Coded"
"4cf415539f22251b2a7d07aedf283cbb1260e4f4777a740cf632b890f4e31478f6c2852a619a87503056e4b9a97c01a45a68c71d524416e1c2c28d0a48c41e5a";"2023-07-24 19:00:00";"A pesar de las críticas, Exoprimal supera una meta de jugadores y lo celebra con un regalo";"https://ct.moreover.com/?a=51386369232&p=8vr&v=1&x=kDC1OCr_EASpUra5wkh_3A";"levelup.com";"Ulises Contreras";"Mexico";"es";"100829";"2";"2"
"90f4c6073f20aee52e79dd0c44872286e9c456292420f5654aaecf54eb05e7b2eb7a9055b423a132ccb632025182da519f40d127dacc0b9fa6dfd1df5e24e8ab";"2023-07-21 07:00:00";"Tecnológicas de EU aceptan las medidas de la Casa Blanca para el desarrollo de la IA";"https://www.forbes.com.mx/openai-google-y-otros-se-comprometen-a-aplicar-medidas-en-la-ia-para-mayor-seguridad/";"forbes.com.mx";"unknown journalist";"Mexico";"es";"218300";"7";"2"
"145b82f2cee31a829e584edfefe1ecfee9f626a2f2a8d55a2ce95f517ee0034f4c0287fc49f7ab59b51b8258cd97fa638f6d044817ddaf9868da774c53ab76d4";"2023-07-28 19:00:00";"Devs de Lies of P apuestan por la difusión masiva en Xbox Game Pass";"https://ct.moreover.com/?a=51416566863&p=8vr&v=1&x=wBaSkfQ2427No8pxcgrIbg";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"221";"2"
"40b6023ad27af565cb17297f244fb5ef83cba726cae13bc8c45755d630a15963d2f7f40d3789704a2eaab411f825739082346bef6b251d49b4117ff904920082";"2023-07-26 19:00:00";"Estos son los juegos clásicos favoritos de Antstream Arcade en Xbox";"https://ct.moreover.com/?a=51399223295&p=8vr&v=1&x=Q0hkh-oV8My6y2NwVXKI_w";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"16";"2"
"0e1b63b26215b2bb3f9e7011c2e930996ae3029d2f1632ee3008003ce148b041a7e30b3081f4db2397295744ce1e5b05a23fe692bcc575050ddd5856ff8c098a";"2023-07-27 08:10:52";"La UE abre investigación contra Microsoft por prácticas monopólicas con el programa Teams";"https://www.eleconomista.com.mx/empresas/La-UE-abre-investigacion-contra-Microsoft-por-practicas-monopolicas-con-el-programa-Teams-20230727-0013.html";"eleconomista.com.mx";"unknown journalist";"Mexico";"es";"207936";"5";"2"
"7f3676f3240dd0980ae03f324cbdeca0fc15ebe97fa3e6e06b734d9017aab20ea43825d794a7d344653f48872b6f7515014c58de968bc338d36c253015304c48";"2023-08-14 05:11:00";"Motorola introduce nuevas funciones de productividad en el ThinkPhone junto con Microsoft";"https://dplnews.com/motorola-introduce-nuevas-funciones-de-productividad-en-el-thinkphone-junto-con-microsoft/";"dplnews.com";"unknown journalist";"Mexico";"es";"44797";"1";"2"
"6ad8431c68ab5b15294bb772ea36f4784120ff4e2c139a44f139003a171688cdd2a9f7a0f559eaffe6f62fbc49d1ea0013d2439b8433263c63490cf8a35e82c1";"2023-08-17 00:57:36";"Starfield te dejará tener casa en sus ciudades; también habrá leyes y cárcel por delitos";"https://www.levelup.com/noticias/751386/Starfield-te-dejara-tener-casa-en-sus-ciudades-tambien-habra-leyes-y-carcel-por-delitos";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"639";"2"
"e3d56dd860acca6cea483cf813713286757cd64080c05e041e3879be22e01487cd811151682ee126e1830289048247c249d204a55fdfb218e565f632393e4373";"2023-08-13 22:36:37";"AMD revela unas AMD Ryzen y Radeon inspiradas en Starfield";"https://www.levelup.com/noticias/750881/AMD-revela-unas-AMD-Ryzen-y-Radeon-inspiradas-en-Starfield";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"36";"2"
"16a926a2bdeeb01da2e6b532bb6fc99148b591ccafda7d7fc7c497a48a6402293d2f3c535438e2f767e718b76ebe13726a44c41bcd72792116ca3410d323faed";"2023-08-17 14:35:18";"Fan esperó 7 horas para preguntarle a Post Malone si jugará Starfield, ¿qué respondió el cantante?";"https://www.levelup.com/noticias/751510/Fan-espero-7-horas-para-preguntarle-a-Post-Malone-si-jugara-Starfield-que-respondio-el-cantante";"levelup.com";"Ulises Contreras";"Mexico";"es";"100829";"26";"2"
"b8a2199c3781947c430813fe1757003d76ae1bd746607fd72c802e0bdacfa53fbf99a9ff812ef11bee75f615aaa84ef0f2ae9aed2c77ff855926c7a57d0c15c3";"2023-08-17 05:48:00";"¡Se despide! Microsoft cerrará tienda online de Xbox 360";"https://www.milenio.com/negocios/microsoft-cerrara-tienda-online-xbox-360";"milenio.com";"unknown journalist";"Mexico";"es";"615997";"8";"2"
"8572d13e3096602a17b24adece71a8d8becabd0930086af071137e4034b3ae94f20baf42dc5c162994e446c5cfd19ee7350f6df9700ef1079e973654efedf186";"2023-07-06 11:58:00";"Xbox Game Pass Ultimate por solo 10 pesos en México está de regreso: así puedes aplicar para la promoción ante la subida de precios";"https://www.xataka.com.mx/videojuegos/xbox-game-pass-ultimate-solo-10-pesos-mexico-esta-regreso-asi-puedes-aplicar-para-promocion-subida-precios";"xataka.com.mx";"Kenth";"Mexico";"es";"58968";"45";"2"
"4c74304e6cb1194c0134c9bd7073cbaa0c3c669252dfbd11e285abf8ce408a2e2ef34ec2b9e0b076e3104bcdd079a0e1c2940316c6b3b87c7767a0245a7fe88f";"2023-07-03 19:00:00";"Xbox sigue dominando en México pero pierde mercado ante PlayStation";"https://ct.moreover.com/?a=51216785837&p=8vr&v=1&x=4ZoKoWClWuExxCqyIQAiDQ";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"413";"2"
"d3c69b17f8f7b276ed0445e1967bc7c03100d61ce960c95cf9cc674852cac7c441f2613831528469531b3ab87ceb4a17869fb3fa8114a9332c5b6933fef6b37a";"2023-07-09 19:00:00";"Las ventas de un popular juego se dispararon en Xbox por una triste razón";"https://ct.moreover.com/?a=51274352690&p=8vr&v=1&x=95yuTENE1GSKLkPNxcQwaw";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"85";"2"
"4ab73a6c613897ad44ff29e0904ba555a58225a2fcf843bcf9f397b108bdb5956dfba388dd880602c54c5d43c2419807b90218ce7579dfa8004510f32c7632e6";"2023-07-10 19:00:00";"Jueza: acuerdos de Microsoft sobre CoD son malos para Sony pero buenos para los jugadores";"https://ct.moreover.com/?a=51281795814&p=8vr&v=1&x=vzC66H8ysDS-I3_y_sKmtQ";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"455";"2"
"7a3a382876a882357d5a0cc1d398add9c03ad9e54b11ea80af4ceeafbaccf5fc6d9d724b4eb67ae9741b5a30d1e817c7c7821806e669927502f4b4ce657c6634";"2023-07-11 19:00:00";"¿Cuándo llegaría Call of Duty a Xbox Game Pass? Documento da importante pista al respecto";"https://ct.moreover.com/?a=51286807276&p=8vr&v=1&x=_zZQXN3-m8S47nBpLMCDWw";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"117";"2"
"d84625319eae251bdd759c76a700206a58c76b92ed5f87b54e8fd27e03a85e6feab1cf233ca173d7d74b21f348d627a9808e28fed3e98ecf94a5f0833d737011";"2023-07-12 06:27:00";"Hackers chinos accedieron a correos del gobierno de EU, alerta Microsoft";"https://www.excelsior.com.mx/trending/hackers-chinos-accedieron-a-correos-electronicos-del-gobierno-de-eu-microsoft/1597344";"excelsior.com.mx";"Reuters | D. Rodríguez";"Mexico";"es";"450630";"4";"2"
"d685b481640f440d9f75f66f0c603be3130718b03685a0773fa0ef7903e0cbb2227b1e04ee5ab9c9006b8e8a2a8f8fce7a8ddf80f1a5e32fcff3ec10918f7deb";"2023-07-14 16:00:00";"Dragon Ball The Breakers y más en Xbox Días de Juego Gratis del 13 al 16 de julio";"https://geekzilla.tech/dragon-ball-the-breakers-y-mas-en-xbox-dias-de-juego-gratis-del-13-al-16-de-julio/";"geekzilla.tech";"unknown journalist";"Mexico";"es";"2731";"0";"2"
"0c8accfc593809f277762ce42a4e032c7a06a7dabc8bca3ef8783b83588b51d4c730dafd02aebb134ed242c9868bd7c4902f1f31a5aebdceeee7578b3c43198d";"2023-07-13 19:01:00";"Este fue uno de los errores más icónicos de Windows XP, y ahora lo puedes replicar desde tu navegador";"https://www.xataka.com.mx/aplicaciones/este-fue-uno-errores-iconicos-windows-xp-ahora-puedes-replicar-tu-navegador";"xataka.com.mx";"Gonzalo Hernandez";"Mexico";"es";"58968";"18";"2"
"3190b9d3e8f7a0e1e076624c7912d8c4bbb55c7828a55206350fdf3f88b9dbf8e4563f810f3bfe0825dd837ee05a735d0fdd35f3cd027a14ebdfac6c68586424";"2023-07-12 19:00:00";"Microsoft dio una pista importante sobre cómo será Nintendo Switch 2";"https://ct.moreover.com/?a=51294633679&p=8vr&v=1&x=S4jNHWwwiiotL9FnUQZIFQ";"levelup.com";"Dan Villalobos";"Mexico";"es";"100829";"1";"2"
"5d729f3de0e5a9a44b1c3be346efa002b50c3ac6ced9092b0313fe717dfb2bb145be8ea625d4bf6844a42b68e22d01fdb967194ecc6418efde2a9fe3059354e0";"2023-07-27 13:31:00";"Control para Xbox Series X|S por solo 899 pesos: Walmart y Amazon México tienen este modelo en liquidación y con envío gratis";"https://www.xataka.com.mx/seleccion/control-para-xbox-series-x-s-solo-899-pesos-walmart-amazon-mexico-tienen-este-modelo-liquidacion-envio-gratis";"xataka.com.mx";"Alejandro Aranda";"Mexico";"es";"58968";"1";"2"
"ea6f23fc8a460e03fdca29a9805bb01df91ea01f662df8a01075df913782683f9e335fe62d286a4c0b306a3abd244f0fab0fefc3b0150d731f3cfbb214c4589a";"2023-10-15 06:00:00";"Siente la pista al volante en Forza Motorsport con las configuraciones de carreras diseñadas para Xbox";"https://geekzilla.tech/siente-la-pista-al-volante-en-forza-motorsport-con-las-configuraciones-de-carreras-disenadas-para-xbox/";"geekzilla.tech";"unknown journalist";"Mexico";"es";"2731";"0";"2"
"f145fbb2a54c19337d7566024972bd69ba6fb35b6aff3674612da203d44875c2acee7607fe3de6f19951e534e87b78809fcb85559c7d80535797dbcbe3f9d5c4";"2023-10-13 14:39:00";"Asquerosamente millonario: esta es la ridícula suma que Bobby Kotick, jefe de Activision, se llevará, gracias a la compra por parte de Xbox";"https://www.3djuegos.lat/xbox-series-x-s/asquerosamente-millonario-esta-ridicula-suma-que-bobby-kotick-jefe-activision-se-llevara-gracias-a-compra-parte-xbox";"3djuegos.lat";"Rodrigo Villanueva";"Mexico";"es";"63013";"29";"2"
"133d030ca03856c6aebc8ab4cb5758a9aa374b3e3bbe4e29652db3697f13f7eb1056f90df1d3e32de2685e7d0e70debd83c6ff029e6f57cc36e2830c3d81ab15";"2023-10-11 07:00:00";"Estados Unidos reclama 28,900 mdd en impuestos atrasados a Microsoft";"https://www.forbes.com.mx/estados-unidos-reclama-28900-mdd-en-impuestos-atrasados-a-microsoft/";"forbes.com.mx";"unknown journalist";"Mexico";"es";"218300";"19";"1"
"183f8eb7419726a969489409f844b82172fd010f370c7a0d089b55262659e443b72c348ec2944cfa8987e3d636aef704f6420e03accb549f9344c3e80b465ada";"2023-10-11 01:28:22";"Battle Royale de Pac-Man exclusivo de Google STADIA llegará a consolas con varias novedades";"https://www.levelup.com/noticias/759147/Battle-Royale-de-PacMan-exclusivo-de-Google-STADIA-llegara-a-consolas-con-varias-novedades";"levelup.com";"Mordokeo Galvan";"Mexico";"es";"100829";"0";"2"
"ca9ee3bbcf4b3d8fb43221b4d7fa56e3abb38963a715488d272ee634748f2d66dbc795fe0682f6c0be6a0bb29cf3e08d78f00b86b02f2fc2309b608ba121e62c";"2023-10-16 10:11:00";"""Se va el corazón de Bethesda"": Bethesda pierde a una de sus figuras clave tras el lanzamiento de Starfield; el que fuera rostro de la compañía, se retira luego de 24 años";"https://www.3djuegos.lat/xbox-series-x-s/se-va-corazon-bethesda-bethesda-pierde-a-sus-figuras-clave-lanzamiento-starfield-que-fuera-rostro-compania-se-retira-luego-24-anos";"3djuegos.lat";"Rodrigo Villanueva";"Mexico";"es";"63013";"63";"2"
"287e5e84820f03e1b792f9fca0776a30a7b7b70a2f1b7e7b01513114431da06ddf476c7827cc3f4207e41b580f5c5b0fd3e09c94ab97a196ea4710e4ae49497a";"2023-10-15 21:31:47";"Activision considera más remakes ahora que pertenece a Microsoft";"https://www.levelup.com/noticias/759755/Activision-considera-mas-remakes-ahora-que-pertenece-a-Microsoft";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"30";"2"
"f735034834ae141722d3e36cbfb8018476a1657e097ebac2189689db7ee3a249432d6eb54fbd17f93d821b14ebaffd2309e4cae4da465c4d371cd50a59769997";"2023-10-17 14:49:46";"Netflix estaría alistando videojuegos de ‘El Juego del Calamar’, ‘Black Mirror’ y de otros de sus hits";"https://www.forbes.com.mx/netflix-estaria-alistando-videojuegos-de-el-juego-del-calamar-black-mirror-y-de-otros-de-sus-hits/";"forbes.com.mx";"Israel Zamarrón";"Mexico";"es";"218300";"28";"2"
"cb0493f47e08abaf423867997d79d8ca0684ce632e9f08dd7924e9495fff16c68b71111075fa8f0cc5492ac73383980a730861cef7731a38047db25e170e4cf2";"2023-10-21 22:16:34";"Pentiment podría dejar de ser exclusivo de Xbox";"https://www.levelup.com/noticias/760737/Pentiment-podria-dejar-de-ser-exclusivo-de-Xbox";"levelup.com";"Mordecai Galvan";"Mexico";"es";"100829";"1";"2"
"a0bc4b78534bd85841dd2b1d3bb4c3dafae1d110d042ad5549f38accb445ee7e29c2d82fbf6254665d3b203ff6a096efd647e33bbe3761fe48dd5dd6ba42cb72";"2023-10-18 11:23:34";"¿PlayStation y Sony responderán a la adquisición de Activision Blizzard?";"https://www.levelup.com/noticias/760150/PlayStation-y-Sony-responderan-a-la-adquisicion-de-Activision-Blizzard";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"401";"2"
"c3f834a60c3d61d2565af04efdcb0fe1a6180d00d9e669bae6733370a2699dc2575f42460d1e4013e6b9aa8f4a2ba68ad999396150902b4847f68a06b4ab52ee";"2023-10-26 14:35:40";"Xbox Game Pass: ya puedes jugar uno de los mejores títulos del año en el servicio";"https://www.levelup.com/noticias/761391/Xbox-Game-Pass-ya-puedes-jugar-uno-de-los-mejores-titulos-del-ano-en-el-servicio";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"133";"2"
"79adda0b2acbd08d41d3cb75071e21a6d6b30e5e32968cda18bdefee9f6332df6d9315874d6187cf5397eba489503dbef47095067b5deca6bff71f86210373ed";"2023-08-18 14:33:00";"¡Guarda tus juegos! Xbox 360 cerrará su tienda digital para siempre; conoce la fecha";"https://www.excelsior.com.mx/hacker/xbox-360-microsoft-cerrara-tienda-digital-2024/1604075";"excelsior.com.mx";"Jesus Ramírez";"Mexico";"es";"450630";"14";"2"
"a5b8d87e57ac87f4c2a3e819c71b0a578b05838c01d576f791d186a4a47ea15a3fb6e78a71d3545fd0be18e1246d2436fbaecc83b1b629fb12c0bcb811195a5c";"2023-08-17 00:57:34";"Baldur's Gate 3: director de Larian responde a críticas por la perfección del juego";"https://www.levelup.com/noticias/751380/Baldurs-Gate-3-director-de-Larian-responde-a-criticas-por-la-perfeccion-del-juego";"levelup.com";"Víctor Rosas";"Mexico";"es";"100829";"27";"2"
"96a9f4c08e63de7f23a6131d527bcdcda1c3d1cb1196555ded5141132c42d7bed2f61d61675c9f212e7369be7b60e0c8ba8d7fcb881b3a1d93716029aded0147";"2023-08-18 14:13:14";"Xbox está regalando un flamante Series X de Armored Core VI; así puede ser tuyo";"https://www.levelup.com/noticias/751673/Xbox-esta-regalando-un-flamante-Series-X-de-Armored-Core-VI-asi-puede-ser-tuyo";"levelup.com";"Daniel Laguna";"Mexico";"es";"100829";"101";"2"
"bf41efe6b110c9abdbf427b5345b74180b9968150d24ea36ae066cb47d7953fbc3cbfe7258a2f114a5c393e17ff681c5f4c64e428ea8c37bcab6dce214e59020";"2023-08-20 16:00:00";"Convierte tu dispositivo Android o Windows en Chromecast con esta app";"https://geekzilla.tech/convierte-tu-dispositivo-android-o-windows-en-chromecast-con-esta-app/";"geekzilla.tech";"unknown journalist";"Mexico";"es";"2731";"0";"2"
